identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
0,0,4,0.0,6,64,True
1,0,4,0.0,6,64,True
3,0,5,0.0,4,64,True
2,2,7,0.01,6,64,True
4,0,4,0.0,6,64,True
6,0,5,0.0,4,64,True
7,0,5,0.0,4,64,True
5,1,5,0.01,4,64,True
8,1,5,0.01,6,64,True
9,0,4,0.0,6,64,True
10,0,4,0.0,6,64,True
11,0,4,0.0,6,64,True
13,0,6,0.0,4,64,True
15,0,4,0.0,6,64,True
14,2,7,0.0,4,64,True
12,1,4,0.01,6,64,True
16,0,5,0.0,4,64,True
18,0,4,0.0,6,64,True
17,1,6,0.0,4,64,True
20,0,4,0.0,6,64,True
21,1,6,0.0,4,64,True
19,2,8,0.01,4,64,True
22,0,5,0.0,4,64,True
23,0,5,0.0,4,64,True
25,0,4,0.0,6,64,True
26,0,4,0.0,6,64,True
24,1,6,0.01,4,64,True
27,0,4,0.0,6,64,True
29,0,4,0.0,4,64,True
30,0,5,0.0,4,64,True
33,0,4,0.0,6,64,True
34,0,4,0.0,6,64,True
32,1,6,0.0,4,64,True
31,1,6,0.0,4,64,True
28,2,7,0.01,4,64,True
38,0,6,0.0,4,64,True
39,0,4,0.0,6,64,True
35,3,8,0.01,4,64,True
40,1,7,0.0,4,64,True
36,1,5,0.01,6,64,True
37,3,9,0.01,4,64,True
41,1,6,0.0,4,64,True
42,0,6,0.0,4,64,True
43,0,4,0.0,6,64,True
44,1,5,0.0,4,64,True
45,0,4,0.0,6,64,True
46,2,8,0.0,4,64,True
48,0,4,0.0,6,64,True
47,1,6,0.0,4,64,True
49,0,5,0.0,4,64,True
50,0,4,0.0,4,64,True
53,0,4,0.0,4,64,True
55,1,5,0.0,6,64,True
54,0,4,0.0,6,64,True
58,0,4,0.0,6,64,True
51,2,8,0.01,4,64,True
57,0,4,0.0,6,64,True
60,0,4,0.0,6,64,True
59,1,6,0.0,4,64,True
63,1,5,0.0,6,64,True
64,0,4,0.0,6,64,True
62,0,4,0.01,6,64,True
65,0,4,0.0,6,64,True
66,0,4,0.0,6,64,True
67,0,4,0.0,6,64,True
61,1,5,0.01,6,64,True
70,0,5,0.0,4,64,True
56,1,5,0.01,6,64,True
68,1,5,0.01,4,64,True
74,0,4,0.0,6,64,True
73,1,6,0.0,4,64,True
75,0,4,0.0,6,64,True
71,1,5,0.01,6,64,True
69,3,8,0.01,4,64,True
52,1,5,0.01,4,64,True
77,0,5,0.0,4,64,True
78,0,4,0.0,6,64,True
72,1,6,0.01,4,64,True
76,1,6,0.01,4,64,True
81,0,4,0.0,4,64,True
83,1,6,0.0,4,64,True
85,0,5,0.0,4,64,True
87,0,4,0.0,6,64,True
86,2,6,0.0,6,64,True
88,0,4,0.0,6,64,True
84,1,5,0.01,6,64,True
80,2,7,0.01,4,64,True
82,1,5,0.01,6,64,True
79,1,6,0.01,4,64,True
89,0,4,0.0,6,64,True
93,0,4,0.0,6,64,True
94,1,5,0.0,6,64,True
97,0,4,0.0,6,64,True
95,0,5,0.0,4,64,True
90,0,5,0.01,4,64,True
91,1,6,0.01,4,64,True
99,1,6,0.0,4,64,True
98,2,7,0.01,4,64,True
92,1,6,0.01,4,64,True
96,3,9,0.01,4,64,True
