identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
0,0,4,0.0030028820037841797,6,64,True
1,0,4,0.0030024051666259766,6,64,True
2,0,4,0.003002643585205078,6,64,True
3,1,5,0.0050048828125,4,64,True
4,1,5,0.005004405975341797,6,64,True
5,0,5,0.0030024051666259766,4,64,True
6,1,7,0.005021333694458008,4,64,True
7,0,5,0.003002643585205078,4,64,True
8,0,4,0.0030024051666259766,6,64,True
9,0,4,0.0030024051666259766,6,64,True
10,0,4,0.003002643585205078,6,64,True
11,0,4,0.004003763198852539,6,64,True
12,0,4,0.004003763198852539,6,64,True
13,0,6,0.004003286361694336,4,64,True
14,0,6,0.004003286361694336,4,64,True
15,0,4,0.003586292266845703,6,64,True
16,0,6,0.004004001617431641,4,64,True
17,1,6,0.007423877716064453,4,64,True
18,1,5,0.003002166748046875,6,64,True
19,0,6,0.004003763198852539,4,64,True
20,0,4,0.0030031204223632812,6,64,True
21,0,6,0.0040035247802734375,4,64,True
22,0,5,0.0030019283294677734,4,64,True
23,0,5,0.0030024051666259766,4,64,True
24,0,5,0.0030031204223632812,4,64,True
25,0,4,0.0030031204223632812,6,64,True
26,0,4,0.004004240036010742,6,64,True
27,0,4,0.004004240036010742,6,64,True
28,0,5,0.003003358840942383,4,64,True
29,0,4,0.003002643585205078,4,64,True
30,0,5,0.003002643585205078,4,64,True
31,1,6,0.005004405975341797,4,64,True
32,0,6,0.0040035247802734375,4,64,True
33,0,4,0.0030028820037841797,6,64,True
34,0,4,0.0030028820037841797,6,64,True
35,1,7,0.0030031204223632812,4,64,True
36,0,4,0.004003047943115234,6,64,True
37,0,6,0.003002166748046875,4,64,True
38,0,6,0.0040035247802734375,4,64,True
39,0,4,0.004003047943115234,6,64,True
40,0,6,0.0030019283294677734,4,64,True
41,0,5,0.0030031204223632812,4,64,True
42,0,6,0.004004001617431641,4,64,True
43,0,4,0.004004001617431641,6,64,True
44,1,6,0.006005287170410156,4,64,True
45,1,5,0.0050046443939208984,6,64,True
46,2,8,0.0040035247802734375,4,64,True
47,0,6,0.0040035247802734375,4,64,True
48,0,4,0.003002643585205078,6,64,True
49,1,6,0.006005525588989258,4,64,True
50,1,5,0.009008407592773438,4,64,True
51,0,6,0.004003763198852539,4,64,True
52,0,5,0.006005764007568359,4,64,True
53,0,4,0.0030028820037841797,4,64,True
54,0,4,0.0040035247802734375,6,64,True
55,0,4,0.0030024051666259766,6,64,True
56,1,5,0.006005525588989258,6,64,True
57,0,4,0.0030028820037841797,6,64,True
58,0,4,0.0040035247802734375,6,64,True
59,0,6,0.0030028820037841797,4,64,True
60,0,4,0.004003763198852539,6,64,True
61,0,4,0.004003763198852539,6,64,True
62,1,5,0.005004405975341797,6,64,True
63,0,4,0.004003286361694336,6,64,True
64,0,4,0.003002643585205078,6,64,True
65,0,4,0.004003763198852539,6,64,True
66,1,5,0.006005525588989258,6,64,True
67,0,4,0.0030028820037841797,6,64,True
68,1,5,0.007006645202636719,4,64,True
69,0,5,0.006005048751831055,4,64,True
70,2,7,0.005004405975341797,4,64,True
71,0,4,0.0030028820037841797,6,64,True
72,0,5,0.0030024051666259766,4,64,True
73,0,6,0.004003286361694336,4,64,True
74,0,4,0.003002166748046875,6,64,True
75,0,4,0.0030031204223632812,6,64,True
76,0,5,0.0030035972595214844,4,64,True
77,0,5,0.004004478454589844,4,64,True
78,1,5,0.0050048828125,6,64,True
79,2,8,0.008007526397705078,4,64,True
80,0,5,0.004003047943115234,4,64,True
81,0,4,0.0030024051666259766,4,64,True
82,0,4,0.0030019283294677734,6,64,True
83,0,6,0.004003047943115234,4,64,True
84,0,4,0.004003047943115234,6,64,True
85,1,7,0.0040035247802734375,4,64,True
86,1,5,0.0040035247802734375,6,64,True
87,0,4,0.0030028820037841797,6,64,True
88,0,4,0.0030028820037841797,6,64,True
89,0,4,0.0040035247802734375,6,64,True
90,0,5,0.0030024051666259766,4,64,True
91,1,6,0.004003763198852539,4,64,True
92,0,6,0.004003763198852539,4,64,True
93,0,4,0.004003763198852539,6,64,True
94,1,5,0.0030028820037841797,6,64,True
95,0,6,0.0040035247802734375,4,64,True
96,0,6,0.0040035247802734375,4,64,True
97,0,4,0.003002166748046875,6,64,True
98,0,6,0.004003286361694336,4,64,True
99,0,5,0.004003286361694336,4,64,True
