identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
0,0,4,0.004003286361694336,6,64,True
1,0,4,0.004003763198852539,6,64,True
4,0,4,0.004019498825073242,6,64,True
2,0,5,0.004019498825073242,6,64,True
3,0,5,0.005021810531616211,4,64,True
6,0,6,0.004003763198852539,4,64,True
7,0,5,0.004003286361694336,4,64,True
5,0,5,0.004003286361694336,4,64,True
9,0,4,0.00406956672668457,6,64,True
10,0,4,0.0033631324768066406,6,64,True
11,0,4,0.004069328308105469,6,64,True
8,0,4,0.0070722103118896484,6,64,True
14,0,5,0.0037086009979248047,4,64,True
15,0,4,0.0030024051666259766,6,64,True
13,0,6,0.004003286361694336,4,64,True
16,1,7,0.005004405975341797,4,64,True
12,0,4,0.005004405975341797,6,64,True
18,0,4,0.003514528274536133,6,64,True
19,1,7,0.004026889801025391,4,64,True
21,0,5,0.004019021987915039,4,64,True
22,0,5,0.004019021987915039,4,64,True
20,0,4,0.0040187835693359375,6,64,True
17,0,5,0.007021903991699219,4,64,True
23,0,5,0.006020784378051758,4,64,True
25,0,4,0.0039958953857421875,6,64,True
26,0,4,0.004004001617431641,6,64,True
27,1,5,0.004004001617431641,6,64,True
29,0,4,0.0040035247802734375,4,64,True
24,0,5,0.005997657775878906,4,64,True
30,0,5,0.006005764007568359,4,64,True
28,0,5,0.0050048828125,4,64,True
33,0,4,0.0040035247802734375,6,64,True
31,0,5,0.006005764007568359,4,64,True
34,1,5,0.005030632019042969,6,64,True
35,0,6,0.004178762435913086,4,64,True
36,0,4,0.004178762435913086,6,64,True
32,0,6,0.008024930953979492,4,64,True
39,0,4,0.0040209293365478516,6,64,True
37,0,6,0.005021572113037109,4,64,True
40,0,6,0.0035071372985839844,4,64,True
42,0,6,0.004996061325073242,4,64,True
45,0,4,0.003846406936645508,6,64,True
44,0,5,0.003846406936645508,4,64,True
43,0,4,0.004004240036010742,6,64,True
38,1,7,0.008025169372558594,4,64,True
41,2,8,0.006997346878051758,4,64,True
47,0,5,0.004003763198852539,4,64,True
49,0,6,0.004003286361694336,4,64,True
50,0,4,0.004003286361694336,4,64,True
52,0,5,0.004003286361694336,4,64,True
53,0,4,0.004003047943115234,4,64,True
51,0,6,0.005004167556762695,4,64,True
48,0,4,0.007006645202636719,6,64,True
46,0,6,0.006005048751831055,4,64,True
54,0,4,0.004004240036010742,6,64,True
57,0,5,0.004004240036010742,6,64,True
56,0,4,0.004004240036010742,6,64,True
55,0,4,0.0050048828125,6,64,True
59,0,6,0.005004405975341797,4,64,True
61,0,4,0.004003763198852539,6,64,True
62,0,5,0.004003763198852539,6,64,True
60,0,4,0.0050046443939208984,6,64,True
63,0,4,0.004003763198852539,6,64,True
64,0,4,0.004003047943115234,6,64,True
66,0,4,0.004003047943115234,6,64,True
67,1,5,0.0040035247802734375,6,64,True
58,0,4,0.006005525588989258,6,64,True
68,0,4,0.0040035247802734375,4,64,True
69,0,5,0.005004405975341797,4,64,True
71,0,4,0.0050048828125,6,64,True
74,1,5,0.004003763198852539,6,64,True
75,0,4,0.004003763198852539,6,64,True
73,0,5,0.004003763198852539,4,64,True
70,0,5,0.0050048828125,4,64,True
65,0,4,0.009007453918457031,6,64,True
72,0,6,0.005004405975341797,4,64,True
77,0,5,0.004003286361694336,4,64,True
79,0,6,0.004003286361694336,4,64,True
78,0,4,0.0050046443939208984,6,64,True
82,0,4,0.004003763198852539,6,64,True
81,0,4,0.004003763198852539,4,64,True
80,0,5,0.0050046443939208984,4,64,True
76,0,6,0.007006406784057617,4,64,True
84,0,4,0.0050048828125,6,64,True
85,0,6,0.0050048828125,4,64,True
83,0,6,0.0050048828125,4,64,True
86,0,4,0.004003763198852539,6,64,True
88,0,4,0.004004240036010742,6,64,True
87,0,4,0.004004240036010742,6,64,True
89,0,4,0.0030028820037841797,6,64,True
90,0,5,0.004003286361694336,4,64,True
91,0,6,0.005004405975341797,4,64,True
93,0,5,0.005004405975341797,6,64,True
92,0,6,0.005004405975341797,4,64,True
95,0,6,0.004003047943115234,4,64,True
97,0,4,0.004003047943115234,6,64,True
98,0,6,0.005004167556762695,4,64,True
96,0,6,0.005004167556762695,4,64,True
94,1,5,0.005004167556762695,6,64,True
99,0,6,0.005004167556762695,4,64,True
