identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
0,2,6,0.01,6,64,True
1,2,6,0.01,6,64,True
5,1,6,0.01,4,64,True
2,3,7,0.01,6,64,True
3,1,6,0.01,4,64,True
4,2,6,0.01,6,64,True
6,4,10,0.01,4,64,True
7,2,7,0.01,4,64,True
8,3,7,0.01,6,64,True
9,2,6,0.01,6,64,True
11,2,6,0.01,6,64,True
14,3,9,0.01,4,64,True
13,3,8,0.01,4,64,True
10,2,6,0.01,6,64,True
15,0,3,0.01,6,64,True
12,3,7,0.01,6,64,True
16,1,6,0.01,4,64,True
19,2,7,0.01,4,64,True
26,1,5,0.01,6,64,True
20,3,7,0.01,6,64,True
21,3,8,0.01,4,64,True
22,3,8,0.01,4,64,True
17,3,8,0.02,4,64,True
18,1,5,0.01,6,64,True
25,2,6,0.01,6,64,True
24,3,8,0.01,4,64,True
23,2,7,0.01,4,64,True
29,2,6,0.01,4,64,True
27,2,6,0.01,6,64,True
30,2,7,0.01,4,64,True
33,3,7,0.01,6,64,True
34,2,6,0.01,6,64,True
31,1,6,0.01,4,64,True
28,2,7,0.01,4,64,True
32,3,9,0.01,4,64,True
38,2,7,0.01,4,64,True
36,2,6,0.01,6,64,True
35,0,5,0.01,4,64,True
37,2,7,0.01,4,64,True
40,4,10,0.01,4,64,True
41,1,6,0.01,4,64,True
42,2,7,0.01,4,64,True
43,3,7,0.01,6,64,True
39,2,6,0.01,6,64,True
44,2,7,0.01,4,64,True
46,1,6,0.01,4,64,True
48,3,7,0.01,6,64,True
47,2,6,0.01,4,64,True
45,3,7,0.01,6,64,True
50,2,6,0.01,4,64,True
52,0,4,0.01,4,64,True
49,4,10,0.01,4,64,True
51,3,8,0.01,4,64,True
54,2,6,0.01,6,64,True
55,0,3,0.01,6,64,True
56,2,6,0.01,6,64,True
57,2,6,0.01,6,64,True
58,3,7,0.01,6,64,True
62,2,6,0.01,6,64,True
61,3,7,0.01,6,64,True
59,5,11,0.01,4,64,True
64,2,6,0.01,6,64,True
65,3,7,0.01,6,64,True
60,2,6,0.01,6,64,True
67,2,6,0.01,6,64,True
66,2,6,0.01,6,64,True
63,0,3,0.01,6,64,True
68,3,7,0.01,4,64,True
69,2,7,0.01,4,64,True
71,2,6,0.01,6,64,True
53,2,6,0.02,4,64,True
72,2,7,0.01,4,64,True
73,4,10,0.01,4,64,True
74,2,6,0.01,6,64,True
70,1,6,0.01,4,64,True
78,2,6,0.01,6,64,True
77,2,7,0.01,4,64,True
79,1,6,0.01,4,64,True
82,2,6,0.01,6,64,True
80,2,7,0.01,4,64,True
81,2,6,0.01,4,64,True
83,2,7,0.01,4,64,True
84,2,6,0.01,6,64,True
76,4,10,0.02,4,64,True
85,1,6,0.01,4,64,True
87,3,7,0.01,6,64,True
75,3,7,0.02,6,64,True
89,2,6,0.01,6,64,True
93,2,6,0.01,6,64,True
97,1,5,0.01,6,64,True
90,2,7,0.01,4,64,True
88,2,6,0.01,6,64,True
94,2,6,0.01,6,64,True
91,4,10,0.01,4,64,True
92,4,10,0.01,4,64,True
95,3,9,0.01,4,64,True
86,2,6,0.02,6,64,True
98,2,7,0.01,4,64,True
96,1,6,0.01,4,64,True
99,3,8,0.01,4,64,True
