identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
0,0,4,0.006005525588989258,6,64,True
1,0,4,0.007006406784057617,6,64,True
4,0,4,0.005004405975341797,6,64,True
2,0,4,0.005747079849243164,6,64,True
3,0,5,0.0067479610443115234,4,64,True
5,0,5,0.0055963993072509766,4,64,True
6,0,5,0.006005764007568359,4,64,True
7,0,5,0.006005764007568359,4,64,True
9,0,5,0.006006002426147461,6,64,True
8,0,4,0.007006645202636719,6,64,True
10,0,4,0.006005048751831055,6,64,True
12,0,4,0.006005048751831055,6,64,True
14,0,6,0.006005048751831055,4,64,True
11,0,4,0.006005048751831055,6,64,True
13,0,5,0.007005929946899414,4,64,True
15,0,4,0.006005287170410156,6,64,True
16,0,5,0.007006168365478516,4,64,True
18,0,4,0.006005287170410156,6,64,True
20,0,4,0.006005287170410156,6,64,True
19,0,6,0.007006645202636719,4,64,True
21,0,6,0.006005764007568359,4,64,True
22,0,5,0.006006002426147461,4,64,True
17,0,5,0.00900888442993164,4,64,True
23,0,5,0.007006645202636719,4,64,True
24,0,5,0.007006645202636719,4,64,True
25,0,4,0.006005525588989258,6,64,True
26,0,4,0.006005525588989258,6,64,True
29,0,4,0.006005048751831055,4,64,True
28,0,5,0.007005929946899414,4,64,True
30,0,5,0.007006645202636719,4,64,True
27,0,4,0.007006645202636719,6,64,True
32,0,6,0.006894350051879883,4,64,True
35,0,6,0.006005287170410156,4,64,True
34,0,4,0.007006406784057617,6,64,True
36,0,4,0.0050046443939208984,6,64,True
31,0,5,0.01301121711730957,4,64,True
37,0,5,0.0060045719146728516,4,64,True
40,0,6,0.006005287170410156,4,64,True
38,0,5,0.007005453109741211,4,64,True
39,0,4,0.00800633430480957,6,64,True
33,0,4,0.015013456344604492,6,64,True
41,0,5,0.006005764007568359,4,64,True
42,0,5,0.007006645202636719,4,64,True
44,0,6,0.007006645202636719,4,64,True
43,0,4,0.008007287979125977,6,64,True
45,0,4,0.007006645202636719,6,64,True
47,0,6,0.006006002426147461,4,64,True
48,0,4,0.006006002426147461,6,64,True
50,0,4,0.006005764007568359,4,64,True
46,0,5,0.00700688362121582,4,64,True
51,0,5,0.006195068359375,4,64,True
49,0,6,0.008007049560546875,4,64,True
52,0,5,0.007006168365478516,4,64,True
54,0,4,0.006005048751831055,6,64,True
56,0,4,0.006005048751831055,6,64,True
57,0,4,0.006005287170410156,6,64,True
58,0,4,0.0059604644775390625,6,64,True
59,0,6,0.006005764007568359,4,64,True
55,0,4,0.009007692337036133,6,64,True
53,0,4,0.010008811950683594,4,64,True
61,0,4,0.006005525588989258,6,64,True
62,0,4,0.0060062408447265625,6,64,True
64,0,4,0.0060062408447265625,6,64,True
63,0,4,0.0060062408447265625,6,64,True
65,0,4,0.006005287170410156,6,64,True
60,0,4,0.010964632034301758,6,64,True
68,0,4,0.006004810333251953,4,64,True
67,0,4,0.007005929946899414,6,64,True
66,0,4,0.008007049560546875,6,64,True
69,0,5,0.007006406784057617,4,64,True
70,0,6,0.007006168365478516,4,64,True
72,0,5,0.007006168365478516,4,64,True
71,0,4,0.0070056915283203125,6,64,True
75,0,4,0.006005048751831055,6,64,True
76,0,5,0.007006406784057617,4,64,True
73,0,6,0.009007930755615234,4,64,True
78,0,4,0.006005525588989258,6,64,True
79,0,5,0.007099151611328125,4,64,True
81,0,4,0.007006406784057617,4,64,True
80,0,5,0.007006406784057617,4,64,True
82,0,4,0.006005525588989258,6,64,True
74,0,4,0.011009693145751953,6,64,True
84,0,4,0.006005764007568359,6,64,True
86,0,4,0.006005525588989258,6,64,True
83,0,6,0.007006406784057617,4,64,True
85,0,6,0.008007287979125977,4,64,True
87,0,4,0.006005048751831055,6,64,True
77,0,5,0.013011693954467773,4,64,True
89,0,4,0.006005048751831055,6,64,True
88,0,4,0.006005048751831055,6,64,True
90,0,5,0.0069141387939453125,4,64,True
93,0,4,0.0060884952545166016,6,64,True
92,0,5,0.0070896148681640625,4,64,True
94,0,4,0.0070760250091552734,6,64,True
95,0,5,0.006075382232666016,4,64,True
97,0,4,0.005074501037597656,6,64,True
91,0,5,0.009077787399291992,4,64,True
96,0,6,0.0070760250091552734,4,64,True
98,0,6,0.005074501037597656,4,64,True
99,0,5,0.006075382232666016,4,64,True
