identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
0,3,7,0.005004405975341797,6,64,True
1,3,7,0.0050046443939208984,6,64,True
2,2,6,0.005004167556762695,6,64,True
3,3,8,0.007006645202636719,4,64,True
4,2,6,0.006005048751831055,6,64,True
5,1,6,0.004003763198852539,4,64,True
6,5,11,0.006005287170410156,4,64,True
7,2,7,0.007006645202636719,4,64,True
8,1,5,0.0030024051666259766,6,64,True
10,2,6,0.004002809524536133,6,64,True
9,1,5,0.006005525588989258,6,64,True
14,1,6,0.0030019283294677734,4,64,True
11,2,6,0.006005048751831055,6,64,True
13,3,8,0.005004167556762695,4,64,True
12,2,6,0.005004167556762695,6,64,True
18,3,7,0.004004240036010742,6,64,True
17,3,8,0.006005525588989258,4,64,True
16,5,11,0.007006168365478516,4,64,True
15,3,7,0.008007049560546875,6,64,True
20,2,6,0.004004001617431641,6,64,True
21,2,7,0.004004001617431641,4,64,True
19,3,8,0.0050046443939208984,4,64,True
22,3,8,0.006006002426147461,4,64,True
24,2,7,0.005004405975341797,4,64,True
25,3,7,0.005004405975341797,6,64,True
28,2,6,0.005004405975341797,4,64,True
26,2,6,0.005003690719604492,6,64,True
23,3,8,0.008007287979125977,4,64,True
29,3,7,0.0050048828125,4,64,True
27,2,6,0.0070056915283203125,6,64,True
31,2,7,0.0030035972595214844,4,64,True
30,3,8,0.008007287979125977,4,64,True
32,5,11,0.007006406784057617,4,64,True
34,3,7,0.005004405975341797,6,64,True
33,3,7,0.006005048751831055,6,64,True
36,2,6,0.0050048828125,6,64,True
35,1,6,0.00700688362121582,4,64,True
37,2,7,0.005004405975341797,4,64,True
38,3,8,0.005004405975341797,4,64,True
40,3,9,0.006005287170410156,4,64,True
42,3,8,0.0050046443939208984,4,64,True
41,3,9,0.007006645202636719,4,64,True
45,1,5,0.0030028820037841797,6,64,True
44,3,9,0.0050046443939208984,4,64,True
39,2,6,0.010009050369262695,6,64,True
43,2,6,0.00700688362121582,6,64,True
46,2,6,0.005004405975341797,4,64,True
48,2,6,0.0050051212310791016,6,64,True
49,5,11,0.006005048751831055,4,64,True
51,4,10,0.005003690719604492,4,64,True
52,2,7,0.0030019283294677734,4,64,True
50,3,7,0.00800633430480957,4,64,True
53,2,6,0.005003929138183594,4,64,True
47,3,8,0.013012170791625977,4,64,True
54,2,6,0.006005287170410156,6,64,True
55,2,6,0.006005287170410156,6,64,True
56,2,6,0.0050046443939208984,6,64,True
57,1,5,0.005004405975341797,6,64,True
59,2,7,0.0050046443939208984,4,64,True
58,3,7,0.006005525588989258,6,64,True
63,3,7,0.006005764007568359,6,64,True
60,2,6,0.007006168365478516,6,64,True
62,2,6,0.006005764007568359,6,64,True
66,2,6,0.003002643585205078,6,64,True
64,2,6,0.006005287170410156,6,64,True
61,2,6,0.009008407592773438,6,64,True
65,2,6,0.00700688362121582,6,64,True
68,1,5,0.003002643585205078,4,64,True
67,2,6,0.007006168365478516,6,64,True
70,3,8,0.0050046443939208984,4,64,True
71,3,7,0.0050046443939208984,6,64,True
69,3,8,0.006006002426147461,4,64,True
72,1,6,0.007006406784057617,4,64,True
75,2,6,0.006005525588989258,6,64,True
73,4,9,0.007005929946899414,4,64,True
74,2,6,0.006005525588989258,6,64,True
77,2,7,0.0040035247802734375,4,64,True
78,1,5,0.003002166748046875,6,64,True
76,2,7,0.008007526397705078,4,64,True
79,4,10,0.006005525588989258,4,64,True
83,1,6,0.006005764007568359,4,64,True
81,2,6,0.006005764007568359,4,64,True
82,3,7,0.006005764007568359,6,64,True
84,3,7,0.007006645202636719,6,64,True
80,3,8,0.007006645202636719,4,64,True
86,1,5,0.007006406784057617,6,64,True
88,2,6,0.0050046443939208984,6,64,True
85,3,8,0.007006168365478516,4,64,True
89,3,7,0.005003929138183594,6,64,True
91,1,6,0.005004405975341797,4,64,True
90,2,7,0.006005048751831055,4,64,True
87,2,6,0.008007287979125977,6,64,True
96,1,6,0.0030028820037841797,4,64,True
93,1,6,0.0050046443939208984,6,64,True
95,1,6,0.006005764007568359,4,64,True
92,4,9,0.00700688362121582,4,64,True
94,3,7,0.006005764007568359,6,64,True
97,2,6,0.0050048828125,6,64,True
98,3,8,0.0050048828125,4,64,True
99,2,7,0.006196022033691406,4,64,True
