identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
0,1,5,0.01,6,64,True
1,0,4,0.0,6,64,True
2,1,5,0.0,6,64,True
3,0,4,0.0,4,64,True
4,1,5,0.01,6,64,True
6,2,8,0.0,4,64,True
5,1,6,0.0,4,64,True
8,1,5,0.0,6,64,True
9,2,6,0.0,6,64,True
10,1,5,0.0,6,64,True
12,1,5,0.0,6,64,True
7,2,7,0.01,4,64,True
11,1,6,0.0,6,64,True
13,0,5,0.0,4,64,True
14,2,7,0.01,4,64,True
16,2,7,0.0,4,64,True
17,1,6,0.0,4,64,True
18,1,5,0.0,6,64,True
19,2,7,0.0,4,64,True
21,2,7,0.0,4,64,True
20,1,5,0.0,6,64,True
15,0,4,0.01,6,64,True
25,0,4,0.0,6,64,True
24,3,7,0.01,4,64,True
22,1,5,0.01,4,64,True
23,3,8,0.01,4,64,True
27,0,4,0.0,6,64,True
26,2,6,0.01,6,64,True
28,1,5,0.0,4,64,True
29,0,4,0.0,4,64,True
30,1,6,0.0,4,64,True
33,1,5,0.0,6,64,True
34,1,5,0.0,6,64,True
36,0,4,0.0,6,64,True
31,0,5,0.01,4,64,True
35,1,6,0.01,4,64,True
37,0,5,0.0,4,64,True
32,1,6,0.01,4,64,True
38,2,7,0.0,4,64,True
41,1,6,0.0,4,64,True
42,2,7,0.0,4,64,True
39,1,5,0.0,6,64,True
44,1,6,0.0,4,64,True
40,3,8,0.01,4,64,True
45,0,4,0.0,6,64,True
43,0,4,0.0,6,64,True
48,1,5,0.0,6,64,True
50,0,4,0.0,4,64,True
49,0,5,0.0,4,64,True
51,1,6,0.0,4,64,True
52,1,5,0.0,4,64,True
53,0,4,0.0,4,64,True
54,1,5,0.0,6,64,True
55,0,4,0.0,6,64,True
47,1,6,0.01,4,64,True
57,0,5,0.0,6,64,True
59,2,8,0.0,4,64,True
61,0,4,0.0,6,64,True
60,0,4,0.0,6,64,True
56,1,5,0.01,6,64,True
58,1,5,0.01,6,64,True
46,3,9,0.01,4,64,True
65,0,4,0.0,6,64,True
63,1,5,0.01,6,64,True
66,0,4,0.0,6,64,True
67,1,5,0.0,6,64,True
69,0,5,0.0,4,64,True
68,1,5,0.0,4,64,True
62,1,5,0.01,6,64,True
64,1,5,0.01,6,64,True
70,2,7,0.0,4,64,True
71,1,5,0.01,6,64,True
74,1,5,0.0,6,64,True
78,0,4,0.0,6,64,True
79,0,5,0.0,4,64,True
81,0,4,0.0,4,64,True
73,1,6,0.01,4,64,True
75,0,4,0.0,6,64,True
80,1,6,0.0,4,64,True
76,2,8,0.01,4,64,True
83,1,6,0.0,4,64,True
77,1,5,0.01,4,64,True
84,0,4,0.0,6,64,True
82,1,5,0.0,6,64,True
72,3,9,0.01,4,64,True
85,0,5,0.0,4,64,True
86,1,6,0.0,6,64,True
87,1,5,0.0,6,64,True
88,1,5,0.0,6,64,True
89,0,4,0.0,6,64,True
91,1,7,0.0,4,64,True
95,2,7,0.0,4,64,True
94,1,5,0.0,6,64,True
97,1,5,0.0,6,64,True
98,1,6,0.0,4,64,True
92,2,7,0.01,4,64,True
99,0,5,0.0,4,64,True
90,1,6,0.01,4,64,True
93,2,7,0.01,6,64,True
96,3,8,0.01,4,64,True
