identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
3,20,54,0.83,22,729,True
14,2,19,0.77,22,729,True
11,10,30,0.86,22,729,True
7,8,29,0.92,22,729,True
6,31,72,0.94,22,729,True
4,22,63,1.01,22,729,True
1,37,92,1.05,21,729,True
5,71,155,1.15,22,729,True
13,30,74,1.1,22,729,True
12,53,111,1.15,22,729,True
15,60,134,1.17,22,729,True
9,86,188,1.37,22,729,True
18,7,25,0.78,22,729,True
20,2,18,0.79,22,729,True
8,49,111,1.77,22,729,True
19,9,30,0.94,22,729,True
0,141,291,1.89,21,729,True
21,22,59,0.88,23,729,True
24,10,37,0.92,23,729,True
2,297,606,2.13,22,729,True
23,33,75,1.01,23,729,True
16,8,30,1.45,22,729,True
25,47,105,1.09,23,729,True
22,97,211,1.28,23,729,True
28,2,17,0.74,23,729,True
10,218,450,2.47,22,729,True
30,22,58,0.82,23,729,True
32,24,63,0.82,23,729,True
17,85,179,2.02,22,729,True
33,27,66,0.96,23,729,True
36,21,54,0.77,23,729,True
29,78,168,1.23,23,729,True
31,39,86,1.22,23,729,True
39,19,52,0.78,23,729,True
27,96,209,1.76,23,729,True
37,53,117,1.09,23,729,True
42,7,23,0.78,23,729,True
41,34,77,0.97,23,729,True
43,4,24,0.76,23,729,True
35,125,263,1.51,23,729,True
26,125,258,2.42,23,729,True
47,2,19,0.77,23,729,True
34,147,304,1.73,23,729,True
46,70,155,0.97,23,729,True
45,49,115,1.06,23,729,True
44,65,141,1.14,23,729,True
50,17,43,0.88,23,729,True
38,19,48,1.86,23,729,True
51,11,30,0.81,23,729,True
53,5,24,0.87,23,729,True
56,7,22,0.77,23,729,True
54,50,111,1.13,23,729,True
52,92,198,1.29,23,729,True
57,30,68,0.96,23,729,True
49,163,338,1.64,23,729,True
61,24,62,0.83,23,729,True
58,44,103,1.04,23,729,True
62,0,14,0.84,23,729,True
59,57,132,1.08,23,729,True
63,17,43,0.86,23,729,True
64,23,57,0.97,23,729,True
66,12,40,0.75,23,729,True
69,7,25,0.77,23,729,True
68,11,37,0.79,23,729,True
65,57,122,1.17,23,729,True
71,1,19,0.77,23,729,True
74,29,75,0.87,23,729,True
75,47,105,0.99,23,729,True
67,172,355,1.47,23,729,True
76,38,83,0.93,23,729,True
48,363,739,3.19,23,729,True
80,10,40,0.78,23,729,True
60,223,458,2.38,23,729,True
72,145,301,1.46,23,729,True
79,45,103,0.94,23,729,True
40,595,1203,4.14,23,729,True
77,15,43,1.35,23,729,True
55,238,484,2.94,23,729,True
82,6,23,0.73,23,729,True
84,28,69,0.85,23,729,True
81,116,246,1.46,23,729,True
89,5,27,0.82,23,729,True
88,36,86,0.94,23,729,True
85,62,139,1.12,23,729,True
87,22,61,0.97,23,729,True
86,35,84,1.07,23,729,True
92,16,47,0.86,23,729,True
94,12,37,0.86,23,729,True
93,49,112,0.94,23,729,True
78,140,293,2.09,23,729,True
95,4,28,0.67,23,729,True
90,168,351,1.2,23,729,True
96,33,73,0.75,23,729,True
91,125,261,1.32,23,729,True
73,423,867,3.02,23,729,True
97,69,149,0.82,23,729,True
99,39,88,0.73,23,729,True
98,40,95,0.78,23,729,True
83,206,422,2.05,23,729,True
70,665,1347,4.31,23,729,True
