identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
2200,0,4,0.970468282699585,59,729,True
3600,1,6,0.8823881149291992,45,729,True
4500,2,11,0.8833878040313721,36,729,True
5400,30,69,0.9504485130310059,27,729,True
6050,107,228,1.7281739711761475,28,729,True
7700,54,118,1.680130958557129,28,729,True
8300,860,1735,5.9894936084747314,26,729,True
9400,9,34,0.8603661060333252,28,729,True
13250,61,137,1.9363667964935303,25,729,True
19250,152,321,1.3188035488128662,30,729,True
2200,1,5,1.5820400714874268,59,729,True
3600,3,9,1.5760371685028076,45,729,True
4500,0,10,0.893397331237793,36,729,True
5400,25,60,0.9018933773040771,27,729,True
6050,26,62,1.8267529010772705,28,729,True
7700,140,296,2.0699989795684814,28,729,True
8300,1392,2795,7.70663595199585,26,729,True
9400,4,26,0.7416946887969971,28,729,True
13250,32,73,0.9278628826141357,25,729,True
19250,110,233,1.1460607051849365,30,729,True
2200,1,5,1.7957026958465576,59,729,True
3600,1,6,0.8507905006408691,45,729,True
4500,1,11,0.811755895614624,36,729,True
5400,49,105,1.8387446403503418,27,729,True
6050,40,107,1.1911346912384033,28,729,True
7700,57,130,1.099050521850586,28,729,True
8300,511,1042,4.091118335723877,26,729,True
9400,3,23,0.9168596267700195,28,729,True
13250,85,178,1.5654964447021484,25,729,True
19250,112,237,1.4133565425872803,30,729,True
2200,0,4,1.0399978160858154,59,729,True
3600,2,7,1.643566608428955,45,729,True
4500,1,11,0.9068782329559326,36,729,True
5400,0,21,0.9268937110900879,27,729,True
6050,66,149,1.0820562839508057,28,729,True
7700,95,209,1.1991345882415771,28,729,True
8300,611,1240,4.107319116592407,26,729,True
9400,2,20,1.000931978225708,28,729,True
13250,82,177,2.1600968837738037,25,729,True
19250,117,245,1.4213337898254395,30,729,True
2200,1,5,1.742654800415039,59,729,True
3600,2,7,1.6235198974609375,45,729,True
4500,7,22,1.947904109954834,36,729,True
5400,0,20,0.8577799797058105,27,729,True
6050,21,55,1.911926031112671,28,729,True
7700,65,153,1.238147258758545,28,729,True
8300,1103,2217,6.954864025115967,26,729,True
9400,17,48,1.8528974056243896,28,729,True
13250,49,109,1.2452025413513184,25,729,True
19250,81,172,1.1982007026672363,30,729,True
2200,1,5,1.6097686290740967,59,729,True
3600,2,7,1.706876516342163,45,729,True
4500,10,26,1.7289471626281738,36,729,True
5400,33,77,1.8471128940582275,27,729,True
6050,55,125,0.9381089210510254,28,729,True
7700,68,155,1.0852670669555664,28,729,True
8300,69,175,1.1673219203948975,26,729,True
9400,14,41,0.9821314811706543,28,729,True
13250,15,44,0.8459873199462891,25,729,True
19250,46,97,1.8340167999267578,30,729,True
2200,1,5,1.8349933624267578,59,729,True
3600,2,7,1.7248029708862305,45,729,True
4500,1,11,0.9581055641174316,36,729,True
5400,47,104,1.2493259906768799,27,729,True
6050,73,161,2.001006841659546,28,729,True
7700,124,270,2.29827880859375,28,729,True
8300,482,986,3.3852667808532715,26,729,True
9400,12,35,0.8950023651123047,28,729,True
13250,18,51,0.9880647659301758,25,729,True
19250,119,247,2.196162462234497,30,729,True
2200,1,5,1.9158484935760498,59,729,True
3600,2,7,1.758683204650879,45,729,True
4500,3,12,0.993903398513794,36,729,True
5400,37,83,1.1280262470245361,27,729,True
6050,1,20,0.9838948249816895,28,729,True
7700,5,20,0.904822587966919,28,729,True
8300,998,2009,6.619016647338867,26,729,True
9400,5,26,0.916832447052002,28,729,True
13250,71,149,1.760601282119751,25,729,True
19250,112,240,1.138033151626587,30,729,True
2200,1,5,1.8466806411743164,59,729,True
3600,3,10,1.5033674240112305,45,729,True
4500,6,19,1.6925394535064697,36,729,True
5400,35,79,1.0389442443847656,27,729,True
6050,103,221,1.7596008777618408,28,729,True
7700,106,225,1.2431323528289795,28,729,True
8300,1141,2297,7.463784456253052,26,729,True
9400,4,25,0.7757065296173096,28,729,True
13250,73,153,1.2911744117736816,25,729,True
19250,100,210,1.0699727535247803,30,729,True
2200,1,5,1.6364893913269043,59,729,True
3600,4,11,1.5444040298461914,45,729,True
4500,4,15,1.6414928436279297,36,729,True
5400,45,99,1.241126537322998,27,729,True
6050,42,95,2.43121075630188,28,729,True
7700,98,211,1.1670613288879395,28,729,True
8300,1039,2089,6.449863910675049,26,729,True
9400,2,22,1.0189268589019775,28,729,True
13250,47,103,1.357234001159668,25,729,True
19250,46,112,1.1490423679351807,30,729,True
2200,1,5,2.0488624572753906,59,729,True
3600,4,10,1.9587793350219727,45,729,True
4500,1,11,0.8267500400543213,36,729,True
5400,50,109,1.8186531066894531,27,729,True
6050,97,209,1.199089765548706,28,729,True
7700,80,172,2.0188353061676025,28,729,True
8300,611,1246,4.0156519412994385,26,729,True
9400,4,24,0.9358515739440918,28,729,True
13250,100,208,2.5933573246002197,25,729,True
19250,14,41,1.083984375,30,729,True
2200,1,5,1.9147400856018066,59,729,True
3600,2,7,1.8757052421569824,45,729,True
4500,1,11,1.0019099712371826,36,729,True
5400,50,109,1.0989990234375,27,729,True
6050,75,161,2.012831211090088,28,729,True
7700,100,217,1.0609652996063232,28,729,True
8300,426,872,3.294994831085205,26,729,True
9400,19,51,0.9038212299346924,28,729,True
13250,49,108,0.98189377784729,25,729,True
19250,5,19,0.8227481842041016,30,729,True
2200,1,5,1.701550006866455,59,729,True
3600,1,6,0.9408571720123291,45,729,True
4500,1,11,0.9328515529632568,36,729,True
5400,33,74,1.082986831665039,27,729,True
6050,46,112,0.8587844371795654,28,729,True
7700,61,141,1.0719754695892334,28,729,True
8300,207,436,2.8145604133605957,26,729,True
9400,17,45,0.955869197845459,28,729,True
13250,15,46,0.8607845306396484,25,729,True
19250,34,78,1.6905360221862793,30,729,True
2200,1,5,1.520380973815918,59,729,True
3600,2,7,1.6805286407470703,45,729,True
4500,1,10,0.8167431354522705,36,729,True
5400,47,101,1.8246591091156006,27,729,True
6050,94,205,1.2381243705749512,28,729,True
7700,44,102,0.9898984432220459,28,729,True
8300,16,53,0.9138302803039551,26,729,True
9400,4,25,0.7797069549560547,28,729,True
13250,108,223,2.3621461391448975,25,729,True
19250,79,169,1.147043228149414,30,729,True
2200,0,4,1.0629661083221436,59,729,True
3600,2,7,1.8076436519622803,45,729,True
4500,3,14,1.7986366748809814,36,729,True
5400,35,80,1.9868073463439941,27,729,True
6050,80,175,1.0259332656860352,28,729,True
7700,2,19,0.9168343544006348,28,729,True
8300,397,813,2.9747045040130615,26,729,True
