identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
3,21,53,0.95,22,729,True
14,37,83,1.03,22,729,True
13,56,121,1.19,22,729,True
9,85,177,1.25,22,729,True
10,73,154,1.42,22,729,True
7,35,78,1.57,22,729,True
2,17,47,1.68,22,729,True
11,24,57,1.64,22,729,True
8,35,81,1.7,22,729,True
0,49,107,1.75,21,729,True
12,22,50,1.74,22,729,True
6,53,116,1.83,22,729,True
5,68,144,1.99,22,729,True
15,47,102,1.97,22,729,True
19,14,39,1.0,22,729,True
1,120,253,2.41,21,729,True
21,29,68,0.9,23,729,True
24,13,36,0.8,23,729,True
4,115,238,2.54,22,729,True
25,10,29,0.82,23,729,True
22,21,53,0.99,23,729,True
16,28,65,1.87,22,729,True
18,10,28,1.74,22,729,True
20,33,72,1.57,22,729,True
29,13,36,0.97,23,729,True
28,51,108,1.18,23,729,True
17,78,162,2.12,22,729,True
23,24,57,1.61,23,729,True
32,5,20,0.8,23,729,True
30,15,39,1.06,23,729,True
27,77,164,1.7,23,729,True
26,78,166,2.03,23,729,True
31,50,108,1.73,23,729,True
38,42,92,1.16,23,729,True
33,34,75,1.7,23,729,True
36,29,64,1.67,23,729,True
45,23,61,1.06,23,729,True
47,11,32,0.77,23,729,True
43,32,74,1.53,23,729,True
41,41,89,1.71,23,729,True
42,38,81,1.7,23,729,True
44,132,274,1.68,23,729,True
46,17,45,1.51,23,729,True
39,104,220,2.04,23,729,True
50,21,48,0.87,23,729,True
37,125,257,2.37,23,729,True
51,19,46,0.87,23,729,True
56,16,38,0.82,23,729,True
48,51,118,1.65,23,729,True
34,363,732,3.57,23,729,True
49,103,211,2.07,23,729,True
53,25,60,1.62,23,729,True
52,55,118,1.93,23,729,True
63,11,34,0.72,23,729,True
35,460,929,3.91,23,729,True
40,556,1126,3.55,23,729,True
60,106,217,1.48,23,729,True
64,23,55,0.81,23,729,True
62,16,41,1.48,23,729,True
55,185,380,1.93,23,729,True
58,212,436,1.84,23,729,True
57,64,135,1.96,23,729,True
54,125,259,2.14,23,729,True
61,66,142,1.78,23,729,True
59,94,194,2.01,23,729,True
67,51,112,0.98,23,729,True
65,42,94,1.14,23,729,True
74,5,22,0.86,23,729,True
68,64,136,1.32,23,729,True
70,88,191,1.27,23,729,True
75,24,53,0.93,23,729,True
72,115,242,1.32,23,729,True
69,20,50,1.54,23,729,True
76,36,78,1.11,23,729,True
78,40,91,1.05,23,729,True
82,17,42,0.86,23,729,True
66,42,91,1.93,23,729,True
71,24,59,1.67,23,729,True
79,64,136,1.27,23,729,True
80,78,164,1.31,23,729,True
85,6,24,0.77,23,729,True
77,26,62,1.58,23,729,True
84,11,33,0.88,23,729,True
86,54,119,1.23,23,729,True
89,79,168,1.28,23,729,True
81,245,497,2.15,23,729,True
97,48,108,0.93,23,729,True
87,195,405,1.77,23,729,True
91,24,55,1.66,23,729,True
88,57,122,1.75,23,729,True
94,19,49,1.55,23,729,True
73,489,985,3.35,23,729,True
93,86,178,1.77,23,729,True
83,286,581,2.44,23,729,True
96,68,142,1.56,23,729,True
95,105,218,1.74,23,729,True
90,146,302,2.12,23,729,True
98,215,435,1.81,23,729,True
99,88,184,1.38,23,729,True
92,263,536,2.41,23,729,True
