identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
3600,2,7,5.1,45,729,True
4500,4,14,5.14,36,729,True
7700,12,32,5.19,28,729,True
3600,3,8,5.26,45,729,True
2200,0,4,5.31,59,729,True
6050,33,75,6.15,28,729,True
8300,99,207,7.59,26,729,True
6050,4,16,8.7,28,729,True
9400,13,33,9.04,28,729,True
4500,6,16,9.36,36,729,True
2200,2,6,9.45,59,729,True
5400,30,66,9.45,27,729,True
19250,55,115,9.75,30,729,True
8300,4,20,4.93,26,729,True
19250,5,18,4.95,30,729,True
13250,14,37,5.08,25,729,True
9400,21,52,5.3,28,729,True
2200,1,5,5.35,59,729,True
7700,11,28,10.94,28,729,True
5400,22,50,11.3,27,729,True
13250,39,82,11.52,25,729,True
5400,5,21,4.89,27,729,True
9400,19,46,5.15,28,729,True
13250,17,44,5.22,25,729,True
2200,0,4,5.62,59,729,True
4500,4,12,9.46,36,729,True
3600,2,7,11.14,45,729,True
6050,30,68,9.19,28,729,True
9400,16,40,4.96,28,729,True
7700,17,44,9.46,28,729,True
8300,73,153,10.14,26,729,True
4500,4,13,9.18,36,729,True
19250,21,48,9.59,30,729,True
13250,19,47,5.09,25,729,True
3600,2,7,9.8,45,729,True
5400,21,49,9.43,27,729,True
19250,26,62,5.41,30,729,True
2200,1,5,5.3,59,729,True
3600,1,6,5.23,45,729,True
6050,36,78,11.91,28,729,True
7700,35,78,11.8,28,729,True
5400,9,24,4.98,27,729,True
4500,5,14,6.0,36,729,True
6050,19,47,5.02,28,729,True
9400,19,45,4.98,28,729,True
7700,66,136,5.8,28,729,True
2200,1,5,5.47,59,729,True
5400,36,78,5.25,27,729,True
8300,158,321,14.94,26,729,True
6050,24,53,5.24,28,729,True
9400,4,16,4.98,28,729,True
19250,7,23,9.02,30,729,True
13250,14,33,9.17,25,729,True
19250,15,36,5.29,30,729,True
3600,3,8,9.61,45,729,True
3600,1,6,5.21,45,729,True
4500,6,16,9.5,36,729,True
2200,0,4,5.39,59,729,True
13250,29,69,6.84,25,729,True
8300,84,179,10.88,26,729,True
4500,3,11,5.19,36,729,True
2200,1,5,5.36,59,729,True
8300,98,207,6.94,26,729,True
3600,3,8,5.35,45,729,True
5400,25,57,9.32,27,729,True
7700,47,100,12.9,28,729,True
8300,28,64,5.21,26,729,True
8300,25,62,13.06,26,729,True
9400,19,45,9.22,28,729,True
7700,46,98,10.54,28,729,True
19250,33,74,9.57,30,729,True
6050,16,41,12.04,28,729,True
13250,48,104,10.5,25,729,True
4500,9,22,9.66,36,729,True
5400,11,29,9.9,27,729,True
13250,3,17,5.02,25,729,True
7700,7,23,9.94,28,729,True
19250,14,34,5.51,30,729,True
3600,0,6,6.45,45,729,True
6050,26,56,12.39,28,729,True
6050,27,62,5.18,28,729,True
5400,11,30,7.01,27,729,True
8300,14,35,5.09,26,729,True
19250,5,19,5.1,30,729,True
9400,33,73,9.57,28,729,True
2200,1,5,5.38,59,729,True
4500,6,19,9.49,36,729,True
2200,2,6,10.13,59,729,True
5400,9,28,6.84,27,729,True
7700,23,53,9.55,28,729,True
13250,9,32,9.0,25,729,True
13250,32,74,5.25,25,729,True
4500,4,12,9.38,36,729,True
19250,14,34,5.24,30,729,True
2200,0,4,5.3,59,729,True
3600,4,9,9.94,45,729,True
9400,28,63,7.62,28,729,True
5400,18,48,5.2,27,729,True
6050,11,30,9.23,28,729,True
9400,8,25,13.13,28,729,True
7700,15,39,4.87,28,729,True
7700,37,82,10.82,28,729,True
8300,5,29,10.87,26,729,True
6050,19,44,6.95,28,729,True
3600,3,8,9.47,45,729,True
4500,8,21,9.62,36,729,True
8300,27,63,5.12,26,729,True
9400,11,32,9.26,28,729,True
9400,9,27,4.69,28,729,True
7700,27,64,6.86,28,729,True
8300,40,93,10.28,26,729,True
13250,17,44,9.18,25,729,True
2200,2,6,9.26,59,729,True
19250,15,40,9.43,30,729,True
3600,2,7,9.88,45,729,True
2200,0,4,5.35,59,729,True
5400,9,24,9.21,27,729,True
6050,35,77,9.57,28,729,True
13250,28,64,7.28,25,729,True
5400,50,106,5.58,27,729,True
4500,6,17,12.9,36,729,True
19250,5,18,4.87,30,729,True
9400,30,65,5.19,28,729,True
8300,53,112,5.85,26,729,True
3600,3,9,9.65,45,729,True
3600,1,7,5.08,45,729,True
4500,11,26,5.16,36,729,True
7700,57,119,7.74,28,729,True
4500,7,17,9.31,36,729,True
19250,21,50,12.46,30,729,True
6050,25,56,9.29,28,729,True
13250,21,47,9.15,25,729,True
13250,29,64,5.36,25,729,True
2200,0,4,5.4,59,729,True
2200,1,5,10.19,59,729,True
3600,3,8,5.12,45,729,True
5400,56,116,9.92,27,729,True
6050,15,38,5.02,28,729,True
6050,10,31,10.64,28,729,True
5400,52,111,6.18,27,729,True
7700,25,58,5.92,28,729,True
9400,3,16,4.72,28,729,True
7700,44,95,9.46,28,729,True
9400,4,15,9.29,28,729,True
19250,7,22,9.38,30,729,True
13250,4,18,4.8,25,729,True
4500,5,14,9.49,36,729,True
3600,1,6,5.01,45,729,True
19250,27,61,5.48,30,729,True
4500,8,20,5.03,36,729,True
8300,9,25,9.0,26,729,True
8300,97,198,12.72,26,729,True
6050,7,22,5.33,28,729,True
13250,13,34,5.07,25,729,True
2200,0,4,5.4,59,729,True
8300,70,150,6.55,26,729,True
4500,5,15,5.08,36,729,True
2200,2,6,10.15,59,729,True
5400,21,52,5.08,27,729,True
5400,5,21,8.95,27,729,True
7700,34,72,5.21,28,729,True
7700,16,36,9.68,28,729,True
9400,15,41,9.35,28,729,True
13250,10,28,5.44,25,729,True
3600,2,8,9.31,45,729,True
19250,20,47,10.78,30,729,True
6050,16,35,9.33,28,729,True
4500,2,11,5.12,36,729,True
3600,2,7,5.75,45,729,True
8300,17,41,9.29,26,729,True
5400,23,53,5.46,27,729,True
9400,16,40,5.02,28,729,True
19250,5,17,9.16,30,729,True
9400,44,95,11.38,28,729,True
2200,1,5,10.11,59,729,True
6050,8,27,9.08,28,729,True
5400,7,21,4.96,27,729,True
