identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
7,0,20,4.56,22,729,True
11,10,39,4.56,22,729,True
4,9,43,4.72,22,729,True
1,6,41,5.03,21,729,True
3,59,133,5.14,22,729,True
0,43,107,5.15,21,729,True
8,17,54,5.16,22,729,True
6,38,95,5.21,22,729,True
14,31,83,5.32,22,729,True
9,92,223,5.53,22,729,True
12,69,151,5.71,22,729,True
2,164,367,5.91,22,729,True
13,143,303,6.92,22,729,True
15,351,733,7.63,22,729,True
5,300,617,7.88,22,729,True
17,6,33,4.41,22,729,True
16,21,61,4.6,22,729,True
18,0,18,4.56,22,729,True
20,9,36,4.44,22,729,True
19,2,25,4.67,22,729,True
21,32,91,4.9,23,729,True
23,1,22,4.97,23,729,True
24,73,162,5.38,23,729,True
26,73,176,5.39,23,729,True
29,0,28,4.47,23,729,True
30,7,40,4.54,23,729,True
31,0,23,4.1,23,729,True
28,74,159,6.21,23,729,True
32,11,47,4.26,23,729,True
33,0,25,4.35,23,729,True
36,35,89,4.57,23,729,True
38,0,22,4.46,23,729,True
39,11,44,5.03,23,729,True
25,807,1629,10.97,23,729,True
41,6,29,4.25,23,729,True
42,0,17,4.31,23,729,True
37,438,895,8.51,23,729,True
43,129,284,5.62,23,729,True
46,60,141,4.48,23,729,True
47,46,105,4.87,23,729,True
50,22,63,4.1,23,729,True
51,19,52,4.21,23,729,True
53,44,103,4.84,23,729,True
22,1471,2963,18.94,23,729,True
52,89,204,5.47,23,729,True
44,659,1363,10.78,23,729,True
56,2,24,3.83,23,729,True
49,418,870,8.21,23,729,True
57,17,46,4.2,23,729,True
34,1116,2253,16.38,23,729,True
54,341,719,8.02,23,729,True
61,2,30,4.04,23,729,True
45,852,1741,14.69,23,729,True
63,1,25,4.03,23,729,True
62,12,44,4.22,23,729,True
64,0,19,3.97,23,729,True
66,5,27,4.1,23,729,True
27,1456,2963,25.31,23,729,True
65,166,365,5.37,23,729,True
58,336,729,8.41,23,729,True
68,20,58,4.08,23,729,True
69,1,22,3.81,23,729,True
74,10,43,3.89,23,729,True
72,121,280,4.69,23,729,True
76,1,23,3.75,23,729,True
55,925,1879,16.28,23,729,True
77,13,45,3.87,23,729,True
75,18,53,4.54,23,729,True
71,338,696,8.01,23,729,True
79,71,165,4.22,23,729,True
82,20,56,3.94,23,729,True
84,29,77,4.2,23,729,True
67,1190,2421,14.52,23,729,True
59,1040,2120,20.03,23,729,True
78,756,1545,9.85,23,729,True
85,91,200,4.94,23,729,True
80,423,883,9.46,23,729,True
86,171,368,5.41,23,729,True
87,78,182,4.87,23,729,True
88,72,163,4.31,23,729,True
48,2456,4945,31.57,23,729,True
89,65,165,4.43,23,729,True
93,8,38,3.81,23,729,True
91,209,443,5.71,23,729,True
81,939,1898,14.49,23,729,True
83,1177,2384,15.47,23,729,True
96,104,223,4.41,23,729,True
94,50,115,5.24,23,729,True
97,106,247,4.42,23,729,True
90,550,1133,8.0,23,729,True
92,363,761,8.17,23,729,True
99,1,26,3.15,23,729,True
98,186,397,5.02,23,729,True
70,1845,3736,26.22,23,729,True
95,564,1157,8.13,23,729,True
35,3181,6387,51.28,23,729,True
10,4565,9154,61.72,22,729,True
60,3007,6041,38.35,23,729,True
73,3674,7374,32.02,23,729,True
40,12642,25319,107.78,23,729,True
