identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
9400,8,36,0.8214528560638428,28,729,True
3600,0,6,0.9569456577301025,45,729,True
4500,0,10,0.9615969657897949,36,729,True
4500,0,10,0.9429926872253418,36,729,True
3600,0,6,0.9819185733795166,45,729,True
2200,0,4,1.069000482559204,59,729,True
5400,36,82,1.1210482120513916,27,729,True
7700,104,229,1.1320602893829346,28,729,True
19250,90,200,1.1600840091705322,30,729,True
5400,36,82,1.1570158004760742,27,729,True
2200,0,4,1.3122475147247314,59,729,True
13250,67,143,1.2561969757080078,25,729,True
6050,35,99,1.2872226238250732,28,729,True
6050,35,99,1.2566161155700684,28,729,True
9400,8,36,0.8681375980377197,28,729,True
7700,104,229,1.6439673900604248,28,729,True
3600,0,6,0.9458827972412109,45,729,True
9400,8,36,0.8467681407928467,28,729,True
19250,90,200,1.1301875114440918,30,729,True
6050,35,99,0.9689040184020996,28,729,True
5400,36,82,1.0290327072143555,27,729,True
13250,67,143,1.2474336624145508,25,729,True
2200,0,4,1.1490676403045654,59,729,True
4500,0,10,1.093017339706421,36,729,True
7700,104,229,1.280721664428711,28,729,True
2200,0,4,0.8403260707855225,59,729,True
13250,67,143,1.421867847442627,25,729,True
19250,90,200,1.3358416557312012,30,729,True
3600,0,6,0.9534945487976074,45,729,True
4500,0,10,0.8864328861236572,36,729,True
9400,8,36,0.8063602447509766,28,729,True
6050,35,99,0.9274709224700928,28,729,True
5400,36,82,1.0055418014526367,27,729,True
7700,104,229,1.1546289920806885,28,729,True
3600,0,6,0.7767980098724365,45,729,True
2200,0,4,1.1411535739898682,59,729,True
19250,90,200,1.4940111637115479,30,729,True
4500,0,10,1.0750343799591064,36,729,True
6050,35,99,0.9598972797393799,28,729,True
9400,8,36,0.7958204746246338,28,729,True
5400,36,82,1.0675837993621826,27,729,True
13250,67,143,1.830409049987793,25,729,True
7700,104,229,1.279280185699463,28,729,True
2200,0,4,0.8028218746185303,59,729,True
19250,90,200,1.0000298023223877,30,729,True
13250,67,143,1.304330587387085,25,729,True
4500,0,10,1.025052547454834,36,729,True
3600,0,6,1.0806121826171875,45,729,True
6050,35,99,1.036144733428955,28,729,True
9400,8,36,0.9439699649810791,28,729,True
5400,36,82,1.2373285293579102,27,729,True
7700,104,229,1.1782019138336182,28,729,True
2200,0,4,0.7807927131652832,59,729,True
3600,0,6,0.8398456573486328,45,729,True
19250,90,200,1.1386582851409912,30,729,True
4500,0,10,0.7943129539489746,36,729,True
13250,67,143,1.4289212226867676,25,729,True
6050,35,99,0.9193475246429443,28,729,True
5400,36,82,1.1630961894989014,27,729,True
9400,8,36,0.8893184661865234,28,729,True
7700,104,229,1.2156145572662354,28,729,True
2200,0,4,0.8197441101074219,59,729,True
8300,891,1795,5.464679718017578,26,729,True
13250,67,143,1.1915919780731201,25,729,True
3600,0,6,0.7757015228271484,45,729,True
19250,90,200,1.0784926414489746,30,729,True
8300,891,1795,6.415250062942505,26,729,True
4500,0,10,0.7757065296173096,36,729,True
5400,36,82,1.009425401687622,27,729,True
9400,8,36,0.7913029193878174,28,729,True
6050,35,99,1.1166000366210938,28,729,True
4500,0,10,0.8243303298950195,36,729,True
2200,0,4,0.9469516277313232,59,729,True
3600,0,6,0.8878970146179199,45,729,True
8300,891,1795,6.077980279922485,26,729,True
7700,104,229,1.3803439140319824,28,729,True
19250,90,200,1.1086223125457764,30,729,True
5400,36,82,1.0015227794647217,27,729,True
13250,67,143,1.2887864112854004,25,729,True
8300,891,1795,5.515992641448975,26,729,True
6050,35,99,0.8638515472412109,28,729,True
9400,8,36,0.8273212909698486,28,729,True
7700,104,229,1.109576940536499,28,729,True
2200,0,4,0.8788843154907227,59,729,True
4500,0,10,0.8488378524780273,36,729,True
19250,90,200,1.0685629844665527,30,729,True
3600,0,6,1.0500359535217285,45,729,True
6050,35,99,0.9254183769226074,28,729,True
5400,36,82,1.0305094718933105,27,729,True
8300,891,1795,5.559981346130371,26,729,True
13250,67,143,1.274261236190796,25,729,True
7700,104,229,1.1336095333099365,28,729,True
9400,8,36,0.7777450084686279,28,729,True
19250,90,200,1.0370721817016602,30,729,True
2200,0,4,0.9915244579315186,59,729,True
3600,0,6,0.9224600791931152,45,729,True
