identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
5,36,81,2.57,22,729,True
7,11,31,2.87,22,729,True
3,37,83,2.98,22,729,True
12,45,93,2.97,22,729,True
10,30,69,3.06,22,729,True
11,26,59,3.43,22,729,True
14,24,53,3.42,22,729,True
8,30,70,3.55,22,729,True
0,33,72,3.63,21,729,True
6,42,90,3.65,22,729,True
1,45,96,3.87,21,729,True
2,66,143,3.88,22,729,True
4,55,118,3.88,22,729,True
13,33,73,3.91,22,729,True
9,87,183,4.14,22,729,True
15,105,213,4.93,22,729,True
20,11,30,2.27,22,729,True
16,35,74,2.83,22,729,True
19,9,26,2.97,22,729,True
22,31,68,2.84,23,729,True
18,18,41,3.35,22,729,True
24,9,26,2.9,23,729,True
17,59,125,4.02,22,729,True
21,40,91,3.66,23,729,True
23,33,72,3.58,23,729,True
25,58,124,3.67,23,729,True
30,46,98,3.44,23,729,True
26,54,117,3.83,23,729,True
29,31,70,3.74,23,729,True
28,21,51,3.92,23,729,True
33,8,25,2.82,23,729,True
32,21,50,3.14,23,729,True
36,26,56,2.98,23,729,True
37,18,44,3.05,23,729,True
38,14,35,2.9,23,729,True
31,71,148,4.8,23,729,True
42,22,49,2.5,23,729,True
35,97,204,3.88,23,729,True
39,23,53,3.46,23,729,True
41,19,48,3.41,23,729,True
45,10,28,3.11,23,729,True
43,43,89,3.34,23,729,True
46,24,55,3.09,23,729,True
47,46,99,3.71,23,729,True
51,11,30,2.96,23,729,True
52,7,24,2.98,23,729,True
50,38,81,3.66,23,729,True
53,21,54,3.47,23,729,True
48,113,236,4.43,23,729,True
56,10,27,2.95,23,729,True
57,25,55,3.17,23,729,True
49,142,290,4.69,23,729,True
44,266,538,6.8,23,729,True
54,103,214,4.19,23,729,True
55,128,261,5.03,23,729,True
58,228,466,4.83,23,729,True
65,15,38,2.49,23,729,True
61,26,60,3.3,23,729,True
62,25,55,2.98,23,729,True
63,12,33,3.05,23,729,True
64,17,40,3.1,23,729,True
34,486,982,11.4,23,729,True
66,15,36,3.28,23,729,True
69,6,20,2.74,23,729,True
67,46,99,3.34,23,729,True
68,25,54,3.25,23,729,True
60,97,201,5.62,23,729,True
73,7,24,2.29,23,729,True
72,13,32,2.83,23,729,True
71,25,56,3.32,23,729,True
75,17,42,3.07,23,729,True
74,41,88,3.35,23,729,True
76,19,45,3.05,23,729,True
77,25,58,2.81,23,729,True
79,11,33,2.92,23,729,True
78,75,155,3.26,23,729,True
81,36,78,3.35,23,729,True
82,47,99,3.82,23,729,True
80,99,208,4.85,23,729,True
85,44,96,3.34,23,729,True
83,49,104,4.15,23,729,True
84,70,146,3.91,23,729,True
86,30,66,3.39,23,729,True
88,48,103,3.56,23,729,True
89,58,125,3.97,23,729,True
91,59,127,3.96,23,729,True
90,65,137,4.28,23,729,True
93,20,48,3.01,23,729,True
94,22,49,2.82,23,729,True
92,39,86,4.25,23,729,True
96,16,38,2.66,23,729,True
97,7,22,2.61,23,729,True
99,9,27,2.43,23,729,True
95,37,81,3.18,23,729,True
87,267,543,6.35,23,729,True
98,52,113,3.18,23,729,True
27,1219,2445,25.98,23,729,True
40,1416,2841,23.53,23,729,True
59,1040,2087,21.19,23,729,True
70,1184,2374,18.93,23,729,True
