identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
7700,4,14,2.1944146156311035,28,729,True
7700,4,14,2.661975622177124,28,729,True
5400,20,47,2.9257967472076416,27,729,True
4500,6,17,2.8476991653442383,36,729,True
6050,10,28,3.159998655319214,28,729,True
4500,6,17,3.1800413131713867,36,729,True
3600,2,7,3.1964428424835205,45,729,True
5400,20,47,3.142712116241455,27,729,True
3600,2,7,3.3061318397521973,45,729,True
9400,27,58,3.3982152938842773,28,729,True
13250,31,67,3.4732837677001953,25,729,True
2200,2,6,3.850158452987671,59,729,True
19250,18,40,3.882187604904175,30,729,True
2200,2,6,4.005730867385864,59,729,True
6050,10,28,3.8761825561523438,28,729,True
19250,18,40,2.8436789512634277,30,729,True
7700,4,14,2.38624906539917,28,729,True
4500,6,17,2.811635971069336,36,729,True
9400,27,58,3.318688154220581,28,729,True
2200,2,6,2.9958136081695557,59,729,True
13250,31,67,3.2910959720611572,25,729,True
5400,20,47,3.1219255924224854,27,729,True
6050,10,28,3.3191075325012207,28,729,True
3600,2,7,3.617401599884033,45,729,True
19250,18,40,3.0999300479888916,30,729,True
2200,2,6,3.386216640472412,59,729,True
9400,27,58,3.8056752681732178,28,729,True
13250,31,67,4.238131999969482,25,729,True
4500,6,17,2.780078887939453,36,729,True
3600,2,7,2.861543893814087,45,729,True
7700,4,14,2.5422449111938477,28,729,True
5400,20,47,3.0007131099700928,27,729,True
6050,10,28,2.9797463417053223,28,729,True
9400,27,58,3.2080907821655273,28,729,True
2200,2,6,2.8283650875091553,59,729,True
19250,18,40,3.1561827659606934,30,729,True
13250,31,67,3.4555389881134033,25,729,True
7700,4,14,2.0550272464752197,28,729,True
3600,2,7,3.4176177978515625,45,729,True
4500,6,17,3.4265482425689697,36,729,True
6050,10,28,2.802706480026245,28,729,True
8300,455,916,11.83406376838684,26,729,True
5400,20,47,3.7798044681549072,27,729,True
9400,27,58,3.0093352794647217,28,729,True
19250,18,40,2.8791844844818115,30,729,True
13250,31,67,3.487889528274536,25,729,True
2200,2,6,2.7228829860687256,59,729,True
3600,2,7,2.9876294136047363,45,729,True
4500,6,17,3.1713452339172363,36,729,True
8300,455,916,11.242297410964966,26,729,True
7700,4,14,2.497851848602295,28,729,True
5400,20,47,2.964883804321289,27,729,True
6050,10,28,3.509948492050171,28,729,True
19250,18,40,2.8054146766662598,30,729,True
8300,455,916,11.380420446395874,26,729,True
9400,27,58,3.265896797180176,28,729,True
4500,6,17,2.6547017097473145,36,729,True
2200,2,6,2.9479684829711914,59,729,True
7700,4,14,2.052631139755249,28,729,True
13250,31,67,3.674534320831299,25,729,True
3600,2,7,3.547037124633789,45,729,True
5400,20,47,3.2607603073120117,27,729,True
6050,10,28,3.767731189727783,28,729,True
9400,27,58,3.656932830810547,28,729,True
8300,455,916,11.139203786849976,26,729,True
2200,2,6,2.6294829845428467,59,729,True
19250,18,40,2.770641565322876,30,729,True
7700,4,14,2.2445480823516846,28,729,True
4500,6,17,2.640432119369507,36,729,True
6050,10,28,2.8316516876220703,28,729,True
5400,20,47,3.197054624557495,27,729,True
13250,31,67,4.304258584976196,25,729,True
3600,2,7,3.555422306060791,45,729,True
9400,27,58,3.4114737510681152,28,729,True
2200,2,6,2.7209863662719727,59,729,True
3600,2,7,2.671942710876465,45,729,True
4500,6,17,2.678478956222534,36,729,True
19250,18,40,3.1280357837677,30,729,True
7700,4,14,2.200162649154663,28,729,True
8300,455,916,11.96126675605774,26,729,True
6050,10,28,2.870955467224121,28,729,True
5400,20,47,3.0646555423736572,27,729,True
13250,31,67,4.14217209815979,25,729,True
9400,27,58,3.9963490962982178,28,729,True
