identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
3,0,26,1.76,22,729,True
11,0,25,1.8,22,729,True
0,0,30,1.91,21,729,True
4,0,29,1.87,22,729,True
8,0,23,1.86,22,729,True
7,0,22,1.88,22,729,True
1,0,30,1.93,21,729,True
12,7,36,1.9,22,729,True
14,0,26,1.92,22,729,True
6,0,26,2.0,22,729,True
5,0,30,2.07,22,729,True
13,2,38,2.16,22,729,True
2,29,89,2.26,22,729,True
9,0,40,2.24,22,729,True
15,23,75,2.46,22,729,True
16,0,23,1.74,22,729,True
18,0,19,1.65,22,729,True
17,0,23,1.73,22,729,True
20,0,22,1.68,22,729,True
19,0,21,1.7,22,729,True
23,0,21,1.75,23,729,True
21,3,34,1.8,23,729,True
24,0,27,1.8,23,729,True
26,0,27,1.87,23,729,True
22,11,55,2.05,23,729,True
28,0,21,1.78,23,729,True
29,0,28,1.98,23,729,True
30,0,29,1.83,23,729,True
25,70,167,2.51,23,729,True
31,0,22,1.75,23,729,True
32,6,38,1.76,23,729,True
33,0,23,1.71,23,729,True
27,0,42,3.15,23,729,True
36,3,30,1.71,23,729,True
34,0,29,1.91,23,729,True
38,0,21,1.74,23,729,True
37,5,38,1.88,23,729,True
41,0,22,1.72,23,729,True
39,25,71,1.94,23,729,True
42,0,21,1.77,23,729,True
43,23,68,1.88,23,729,True
35,33,99,2.83,23,729,True
44,0,41,2.19,23,729,True
47,0,24,1.64,23,729,True
46,0,28,1.73,23,729,True
50,0,24,1.64,23,729,True
51,0,17,1.73,23,729,True
52,0,29,1.86,23,729,True
53,0,24,1.76,23,729,True
54,0,24,1.98,23,729,True
56,0,20,1.68,23,729,True
49,12,69,2.53,23,729,True
45,44,119,2.74,23,729,True
57,0,18,1.67,23,729,True
10,351,739,8.42,22,729,True
61,0,25,1.7,23,729,True
55,60,146,2.84,23,729,True
62,0,22,1.69,23,729,True
63,0,25,1.67,23,729,True
58,3,47,2.41,23,729,True
64,0,19,1.71,23,729,True
40,225,488,5.42,23,729,True
59,0,43,2.54,23,729,True
68,0,22,1.66,23,729,True
66,0,21,1.78,23,729,True
69,0,21,1.69,23,729,True
67,44,120,2.29,23,729,True
65,60,147,2.5,23,729,True
48,253,528,5.08,23,729,True
71,0,31,1.88,23,729,True
72,0,29,1.87,23,729,True
74,0,25,1.75,23,729,True
73,6,39,1.96,23,729,True
75,0,22,1.77,23,729,True
76,0,25,1.69,23,729,True
77,0,22,1.71,23,729,True
60,143,317,4.34,23,729,True
79,13,55,1.87,23,729,True
80,0,29,2.13,23,729,True
82,0,25,1.66,23,729,True
84,0,25,1.72,23,729,True
78,56,149,2.84,23,729,True
85,0,26,1.75,23,729,True
83,7,45,2.14,23,729,True
81,41,116,2.74,23,729,True
87,0,27,1.77,23,729,True
70,120,274,4.28,23,729,True
86,0,33,2.0,23,729,True
88,10,47,1.84,23,729,True
90,6,45,1.92,23,729,True
89,20,64,2.0,23,729,True
91,0,32,1.84,23,729,True
93,0,23,1.6,23,729,True
94,0,20,1.42,23,729,True
92,0,35,1.98,23,729,True
96,0,26,1.32,23,729,True
97,13,49,1.28,23,729,True
99,0,22,1.21,23,729,True
98,11,54,1.37,23,729,True
95,80,196,2.01,23,729,True
