identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
4500,0,11,1.6602728366851807,36,729,True
4500,0,11,1.719331979751587,36,729,True
3600,0,6,1.774395227432251,45,729,True
7700,0,24,1.808439016342163,28,729,True
6050,15,49,1.770400047302246,28,729,True
5400,0,20,1.7989485263824463,27,729,True
13250,0,29,1.9090509414672852,25,729,True
19250,21,61,1.9155585765838623,30,729,True
5400,0,20,1.9796218872070312,27,729,True
9400,0,19,1.9806220531463623,28,729,True
2200,0,4,2.0356693267822266,59,729,True
6050,15,49,2.0656981468200684,28,729,True
7700,0,24,1.9485702514648438,28,729,True
2200,0,4,2.2588741779327393,59,729,True
3600,0,6,2.344949960708618,45,729,True
8300,50,123,2.923478841781616,26,729,True
9400,0,19,1.770676612854004,28,729,True
2200,0,4,1.703709363937378,59,729,True
13250,0,29,1.8618659973144531,25,729,True
4500,0,11,1.6936733722686768,36,729,True
5400,0,20,1.7297070026397705,27,729,True
19250,21,61,1.8618535995483398,30,729,True
6050,15,49,1.8157856464385986,28,729,True
3600,0,6,2.088059902191162,45,729,True
13250,0,29,1.9118733406066895,25,729,True
19250,21,61,1.8616948127746582,30,729,True
9400,0,19,2.192127227783203,28,729,True
7700,0,24,2.275202751159668,28,729,True
8300,50,123,2.7356414794921875,26,729,True
3600,0,6,1.6781351566314697,45,729,True
2200,0,4,2.542447090148926,59,729,True
8300,50,123,3.030888795852661,26,729,True
5400,0,20,1.6314826011657715,27,729,True
4500,0,11,1.7025458812713623,36,729,True
9400,0,19,1.6344866752624512,28,729,True
7700,0,24,1.7505910396575928,28,729,True
6050,15,49,1.8883037567138672,28,729,True
13250,0,29,1.8057076930999756,25,729,True
3600,0,6,1.719627857208252,45,729,True
2200,0,4,1.8707647323608398,59,729,True
5400,0,20,1.8638026714324951,27,729,True
6050,15,49,1.753713846206665,28,729,True
19250,21,61,2.357769012451172,30,729,True
7700,0,24,1.7261955738067627,28,729,True
4500,0,11,2.168102502822876,36,729,True
8300,50,123,2.9568309783935547,26,729,True
13250,0,29,1.735302209854126,25,729,True
3600,0,6,1.7034118175506592,45,729,True
2200,0,4,1.7844860553741455,59,729,True
19250,21,61,1.9512248039245605,30,729,True
9400,0,19,2.1354117393493652,28,729,True
4500,0,11,1.7740163803100586,36,729,True
5400,0,20,1.7499961853027344,27,729,True
6050,15,49,1.7750184535980225,28,729,True
7700,0,24,1.7820241451263428,28,729,True
9400,0,19,1.7259187698364258,28,729,True
19250,21,61,1.813492774963379,30,729,True
3600,0,6,1.8149752616882324,45,729,True
4500,0,11,1.635727882385254,36,729,True
13250,0,29,2.2850372791290283,25,729,True
2200,0,4,2.265397787094116,59,729,True
5400,0,20,1.7061560153961182,27,729,True
6050,15,49,1.7922344207763672,28,729,True
7700,0,24,1.815685749053955,28,729,True
8300,50,123,4.032151460647583,26,729,True
9400,0,19,1.7526092529296875,28,729,True
8300,50,123,2.902014970779419,26,729,True
13250,0,29,1.7856659889221191,25,729,True
19250,21,61,1.8392713069915771,30,729,True
2200,0,4,1.8698277473449707,59,729,True
3600,0,6,1.6576356887817383,45,729,True
4500,0,11,1.574089765548706,36,729,True
5400,0,20,1.7783889770507812,27,729,True
6050,15,49,1.729344367980957,28,729,True
8300,50,123,3.306837320327759,26,729,True
9400,0,19,1.7934834957122803,28,729,True
7700,0,24,2.0006701946258545,28,729,True
13250,0,29,1.8622019290924072,25,729,True
4500,0,11,1.7400758266448975,36,729,True
5400,0,20,1.7751107215881348,27,729,True
3600,0,6,1.9552934169769287,45,729,True
19250,21,61,2.1174399852752686,30,729,True
6050,15,49,1.8856451511383057,28,729,True
7700,0,24,1.7650086879730225,28,729,True
9400,0,19,1.688405990600586,28,729,True
2200,0,4,2.5158021450042725,59,729,True
13250,0,29,1.8554456233978271,25,729,True
19250,21,61,1.8689484596252441,30,729,True
8300,50,123,3.5457544326782227,26,729,True
3600,0,6,1.7132360935211182,45,729,True
8300,50,123,2.836982011795044,26,729,True
2200,0,4,1.9064326286315918,59,729,True
6050,15,49,1.7456080913543701,28,729,True
5400,0,20,1.7896790504455566,27,729,True
4500,0,11,2.07759690284729,36,729,True
7700,0,24,1.7626323699951172,28,729,True
13250,0,29,1.7491555213928223,25,729,True
2200,0,4,1.689103364944458,59,729,True
9400,0,19,2.1900687217712402,28,729,True
19250,21,61,1.9398412704467773,30,729,True
3600,0,6,2.3417651653289795,45,729,True
5400,0,20,1.6371262073516846,27,729,True
4500,0,11,1.7932648658752441,36,729,True
8300,50,123,2.932299852371216,26,729,True
7700,0,24,1.729712724685669,28,729,True
9400,0,19,1.759758472442627,28,729,True
13250,0,29,1.747718095779419,25,729,True
3600,0,6,1.679654836654663,45,729,True
19250,21,61,1.9434406757354736,30,729,True
6050,15,49,2.337437868118286,28,729,True
4500,0,11,1.6212196350097656,36,729,True
5400,0,20,1.673267126083374,27,729,True
2200,0,4,2.356443405151367,59,729,True
8300,50,123,2.796874523162842,26,729,True
6050,15,49,1.95603609085083,28,729,True
9400,0,19,1.6181657314300537,28,729,True
7700,0,24,2.2249577045440674,28,729,True
13250,0,29,1.870593547821045,25,729,True
2200,0,4,1.7635550498962402,59,729,True
19250,21,61,1.9362757205963135,30,729,True
4500,0,11,1.6379907131195068,36,729,True
3600,0,6,1.8276700973510742,45,729,True
5400,0,20,1.7291066646575928,27,729,True
6050,15,49,1.8352067470550537,28,729,True
9400,0,19,1.6880064010620117,28,729,True
7700,0,24,2.234792470932007,28,729,True
19250,21,61,1.8384172916412354,30,729,True
3600,0,6,1.6702637672424316,45,729,True
2200,0,4,1.9470274448394775,59,729,True
13250,0,29,2.2588512897491455,25,729,True
8300,50,123,2.8604512214660645,26,729,True
5400,0,20,1.8202877044677734,27,729,True
4500,0,11,2.05802583694458,36,729,True
6050,15,49,1.8112916946411133,28,729,True
7700,0,24,1.836726188659668,28,729,True
9400,0,19,1.777165412902832,28,729,True
8300,50,123,4.025758981704712,26,729,True
13250,0,29,1.820223093032837,25,729,True
2200,0,4,1.7176499366760254,59,729,True
19250,21,61,1.9303724765777588,30,729,True
4500,0,11,1.617283582687378,36,729,True
5400,0,20,1.6683306694030762,27,729,True
8300,50,123,2.8793416023254395,26,729,True
6050,15,49,1.829840898513794,28,729,True
3600,0,6,2.212907552719116,45,729,True
9400,0,19,1.832489013671875,28,729,True
19250,21,61,1.8565013408660889,30,729,True
7700,0,24,2.159834146499634,28,729,True
2200,0,4,1.834449052810669,59,729,True
3600,0,6,1.8139686584472656,45,729,True
5400,0,20,1.723362684249878,27,729,True
13250,0,29,2.2530088424682617,25,729,True
6050,15,49,1.744858741760254,28,729,True
4500,0,11,2.2259416580200195,36,729,True
7700,0,24,1.944549322128296,28,729,True
8300,50,123,2.840071439743042,26,729,True
9400,0,19,1.6722841262817383,28,729,True
13250,0,29,1.7558832168579102,25,729,True
4500,0,11,1.6432416439056396,36,729,True
3600,0,6,1.8749854564666748,45,729,True
6050,15,49,1.8411343097686768,28,729,True
2200,0,4,2.405482530593872,59,729,True
8300,50,123,2.8067588806152344,26,729,True
7700,0,24,1.8548977375030518,28,729,True
19250,21,61,2.5676465034484863,30,729,True
