identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
13,23,53,0.88,22,729,True
11,14,36,0.91,22,729,True
2,7,20,1.29,22,729,True
8,30,68,1.72,22,729,True
3,23,53,1.75,22,729,True
15,65,137,1.74,22,729,True
7,67,139,1.85,22,729,True
12,61,127,1.89,22,729,True
6,73,152,1.95,22,729,True
5,117,238,1.97,22,729,True
14,61,128,1.95,22,729,True
1,106,221,2.16,21,729,True
4,113,233,2.22,22,729,True
9,131,270,2.24,22,729,True
17,27,60,1.57,22,729,True
10,138,284,2.5,22,729,True
16,40,86,1.7,22,729,True
18,42,87,1.72,22,729,True
0,203,409,3.11,21,729,True
19,23,51,1.63,22,729,True
22,16,41,1.57,23,729,True
20,29,65,1.72,22,729,True
23,16,40,1.7,23,729,True
26,27,60,1.72,23,729,True
27,24,56,1.64,23,729,True
21,74,153,1.99,23,729,True
28,28,61,1.7,23,729,True
29,55,117,1.82,23,729,True
24,140,287,2.24,23,729,True
36,9,24,0.88,23,729,True
33,10,28,1.45,23,729,True
31,38,82,1.92,23,729,True
32,57,119,1.88,23,729,True
30,81,166,2.0,23,729,True
25,192,389,2.58,23,729,True
41,4,16,0.84,23,729,True
43,56,118,0.9,23,729,True
34,117,241,2.05,23,729,True
38,40,84,1.76,23,729,True
39,34,72,1.71,23,729,True
42,10,26,1.52,23,729,True
37,93,192,2.16,23,729,True
48,131,270,1.48,23,729,True
35,199,407,2.77,23,729,True
47,22,50,1.74,23,729,True
51,16,39,1.63,23,729,True
50,29,65,1.81,23,729,True
49,61,131,1.97,23,729,True
52,26,60,1.6,23,729,True
46,102,209,2.2,23,729,True
44,155,314,2.5,23,729,True
45,131,267,2.43,23,729,True
53,38,83,1.65,23,729,True
56,33,71,1.52,23,729,True
57,13,32,1.4,23,729,True
54,92,192,1.92,23,729,True
61,33,71,1.04,23,729,True
68,9,25,0.79,23,729,True
62,5,19,1.52,23,729,True
63,26,58,1.51,23,729,True
64,10,26,1.44,23,729,True
60,78,164,1.99,23,729,True
58,173,352,2.36,23,729,True
55,232,469,2.96,23,729,True
66,38,80,1.7,23,729,True
69,21,48,1.56,23,729,True
70,28,62,1.53,23,729,True
65,120,248,1.97,23,729,True
59,202,413,2.75,23,729,True
77,28,60,0.89,23,729,True
72,91,190,1.94,23,729,True
67,224,453,2.55,23,729,True
76,28,63,1.39,23,729,True
71,139,281,2.47,23,729,True
74,57,119,1.96,23,729,True
75,76,160,1.97,23,729,True
78,47,99,1.63,23,729,True
82,37,81,1.57,23,729,True
80,53,112,1.81,23,729,True
81,54,118,1.71,23,729,True
79,72,149,1.96,23,729,True
84,46,99,1.68,23,729,True
85,38,83,1.73,23,729,True
88,15,36,1.41,23,729,True
83,161,328,2.39,23,729,True
94,10,26,0.84,23,729,True
86,56,121,1.75,23,729,True
89,31,68,1.51,23,729,True
73,501,1009,3.91,23,729,True
99,28,61,0.73,23,729,True
91,47,100,1.63,23,729,True
87,183,373,2.37,23,729,True
96,18,41,1.37,23,729,True
90,155,317,1.93,23,729,True
93,118,243,1.78,23,729,True
97,84,173,1.39,23,729,True
95,114,237,1.68,23,729,True
98,55,118,1.24,23,729,True
40,1335,2678,8.54,23,729,True
92,256,519,2.54,23,729,True
