identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
2200,1,5,0.9751262664794922,59,729,True
3600,1,6,1.2349095344543457,45,729,True
4500,7,16,1.4987425804138184,36,729,True
6050,20,47,1.500744104385376,28,729,True
19250,5,18,1.5522758960723877,30,729,True
5400,21,48,1.6779060363769531,27,729,True
9400,24,53,1.6653804779052734,28,729,True
4500,6,16,1.686399221420288,36,729,True
6050,13,34,1.64536452293396,28,729,True
2200,2,6,1.7892332077026367,59,729,True
5400,30,66,1.724435567855835,27,729,True
13250,43,91,1.886582612991333,25,729,True
3600,3,8,2.160372018814087,45,729,True
19250,5,19,0.7237472534179688,30,729,True
7700,24,53,2.2835659980773926,28,729,True
7700,15,39,2.0714147090911865,28,729,True
8300,139,282,2.536864995956421,26,729,True
4500,9,20,0.8870096206665039,36,729,True
8300,14,37,1.59428071975708,26,729,True
6050,16,37,1.6189570426940918,28,729,True
2200,3,7,1.8196470737457275,59,729,True
5400,13,31,1.7135491371154785,27,729,True
3600,2,7,1.835663080215454,45,729,True
13250,33,72,2.078409433364868,25,729,True
7700,9,24,1.8001575469970703,28,729,True
9400,12,31,1.6630327701568604,28,729,True
9400,33,71,2.544917583465576,28,729,True
8300,60,126,2.0483834743499756,26,729,True
19250,30,65,1.7059950828552246,30,729,True
4500,4,13,1.8036975860595703,36,729,True
6050,8,23,1.928335428237915,28,729,True
5400,17,42,1.978384256362915,27,729,True
3600,1,6,1.1183040142059326,45,729,True
13250,18,44,2.565112590789795,25,729,True
2200,2,6,2.6026079654693604,59,729,True
3600,3,9,2.5244624614715576,45,729,True
7700,13,32,1.8225469589233398,28,729,True
13250,26,55,1.7419860363006592,25,729,True
9400,10,24,1.8646721839904785,28,729,True
19250,31,64,1.8421647548675537,30,729,True
2200,3,7,1.968278408050537,59,729,True
13250,14,37,0.9464907646179199,25,729,True
4500,6,15,1.8742499351501465,36,729,True
6050,20,46,1.7785367965698242,28,729,True
8300,90,189,2.6895194053649902,26,729,True
7700,14,35,1.802443504333496,28,729,True
5400,8,22,2.4372808933258057,27,729,True
9400,21,49,1.7739160060882568,28,729,True
19250,11,27,1.7338600158691406,30,729,True
2200,2,6,1.836944341659546,59,729,True
8300,97,203,2.3629839420318604,26,729,True
5400,49,103,1.8228862285614014,27,729,True
6050,17,39,1.899404525756836,28,729,True
9400,9,23,1.6160459518432617,28,729,True
7700,12,30,1.9258992671966553,28,729,True
13250,10,29,1.7762174606323242,25,729,True
19250,27,60,1.7712113857269287,30,729,True
3600,4,10,2.6116974353790283,45,729,True
4500,6,17,2.4505298137664795,36,729,True
8300,58,123,2.106027841567993,26,729,True
3600,3,9,1.6566188335418701,45,729,True
6050,15,36,1.8023293018341064,28,729,True
5400,39,82,1.9279465675354004,27,729,True
2200,2,6,2.428528070449829,59,729,True
7700,44,90,2.0511748790740967,28,729,True
9400,17,39,1.748898983001709,28,729,True
13250,6,20,1.6698079109191895,25,729,True
4500,6,16,2.709306478500366,36,729,True
19250,24,52,1.8285000324249268,30,729,True
2200,2,6,1.7879481315612793,59,729,True
8300,95,197,2.2438998222351074,26,729,True
3600,3,9,1.8024544715881348,45,729,True
5400,21,50,1.9015426635742188,27,729,True
8300,43,90,1.9412016868591309,26,729,True
6050,7,20,2.260002613067627,28,729,True
9400,16,38,1.7849655151367188,28,729,True
4500,8,19,2.6139957904815674,36,729,True
13250,43,90,1.9032373428344727,25,729,True
8300,31,67,1.1248648166656494,26,729,True
19250,9,22,1.8005735874176025,30,729,True
7700,29,64,2.6850953102111816,28,729,True
3600,2,7,1.699937343597412,45,729,True
2200,2,6,1.9391562938690186,59,729,True
4500,5,14,1.935157060623169,36,729,True
5400,8,22,2.214881658554077,27,729,True
6050,32,67,2.0977730751037598,28,729,True
9400,20,46,1.9636509418487549,28,729,True
7700,33,70,2.3289859294891357,28,729,True
13250,18,42,2.0081470012664795,25,729,True
19250,27,59,1.9220190048217773,30,729,True
3600,4,10,1.6802866458892822,45,729,True
6050,27,59,1.8137834072113037,28,729,True
2200,2,6,2.4100611209869385,59,729,True
5400,28,63,2.100342273712158,27,729,True
9400,27,58,1.7947947978973389,28,729,True
7700,39,83,2.2512083053588867,28,729,True
19250,6,17,1.7467803955078125,30,729,True
4500,2,11,2.6542418003082275,36,729,True
13250,35,74,2.298909902572632,25,729,True
3600,3,9,1.7904245853424072,45,729,True
5400,8,22,1.7504570484161377,27,729,True
2200,2,6,2.047729969024658,59,729,True
8300,51,109,3.105717182159424,26,729,True
6050,22,46,2.092768430709839,28,729,True
8300,23,53,1.8540313243865967,26,729,True
7700,12,30,1.9030780792236328,28,729,True
4500,4,14,2.3440380096435547,36,729,True
9400,22,48,1.9581444263458252,28,729,True
13250,14,31,1.9040722846984863,25,729,True
2200,2,6,1.9200897216796875,59,729,True
4500,8,20,1.8494813442230225,36,729,True
3600,2,7,2.1395461559295654,45,729,True
7700,15,37,1.8767354488372803,28,729,True
5400,18,42,1.1093566417694092,27,729,True
19250,56,116,2.860292434692383,30,729,True
6050,40,88,2.161914587020874,28,729,True
2200,2,6,1.794060230255127,59,729,True
3600,3,9,1.8190836906433105,45,729,True
5400,15,37,2.6679961681365967,27,729,True
8300,71,150,2.22749400138855,26,729,True
19250,44,91,1.9131677150726318,30,729,True
4500,5,15,1.9544658660888672,36,729,True
9400,11,27,2.491734266281128,28,729,True
6050,6,19,1.7144150733947754,28,729,True
7700,38,84,1.8625528812408447,28,729,True
13250,32,67,2.754973888397217,25,729,True
13250,20,47,1.664560079574585,25,729,True
9400,15,36,1.980898141860962,28,729,True
19250,9,24,1.6595723628997803,30,729,True
8300,89,184,2.4025979042053223,26,729,True
6050,21,46,1.612555742263794,28,729,True
3600,3,9,1.8823111057281494,45,729,True
4500,8,19,1.7892279624938965,36,729,True
7700,6,18,1.785222053527832,28,729,True
8300,10,30,1.7987470626831055,26,729,True
5400,27,58,1.9824485778808594,27,729,True
9400,28,62,2.0741565227508545,28,729,True
5400,9,24,1.0634491443634033,27,729,True
19250,35,76,2.0121872425079346,30,729,True
2200,2,6,2.7193443775177,59,729,True
2200,2,6,1.9841620922088623,59,729,True
4500,4,14,1.8374955654144287,36,729,True
6050,18,44,1.828005075454712,28,729,True
13250,44,93,3.0531818866729736,25,729,True
7700,50,104,2.0227468013763428,28,729,True
3600,4,10,2.7289392948150635,45,729,True
9400,27,57,1.8951187133789062,28,729,True
13250,16,35,1.8745918273925781,25,729,True
19250,9,25,1.8350751399993896,30,729,True
2200,2,6,1.8395681381225586,59,729,True
3600,3,8,1.9525673389434814,45,729,True
4500,5,14,1.9831225872039795,36,729,True
8300,9,25,1.7672395706176758,26,729,True
6050,25,55,2.0142431259155273,28,729,True
7700,32,70,2.1545913219451904,28,729,True
8300,45,96,3.205815315246582,26,729,True
9400,32,71,1.9363937377929688,28,729,True
13250,14,34,1.748685359954834,25,729,True
5400,19,42,2.7526869773864746,27,729,True
5400,26,58,1.8251762390136719,27,729,True
4500,7,18,1.9478273391723633,36,729,True
2200,2,6,2.0929925441741943,59,729,True
6050,19,42,1.952317476272583,28,729,True
7700,18,41,1.9643266201019287,28,729,True
8300,13,32,1.966355800628662,26,729,True
9400,12,29,1.800699234008789,28,729,True
19250,22,49,2.7752914428710938,30,729,True
13250,17,39,1.7878293991088867,25,729,True
19250,13,34,1.8508884906768799,30,729,True
3600,2,7,2.9153926372528076,45,729,True
2200,2,6,2.059779405593872,59,729,True
4500,9,21,1.9476749897003174,36,729,True
5400,41,88,1.9607722759246826,27,729,True
7700,9,24,1.7115402221679688,28,729,True
9400,11,29,1.8411450386047363,28,729,True
13250,29,62,1.8786876201629639,25,729,True
6050,4,16,2.5788819789886475,28,729,True
3600,3,8,2.8731470108032227,45,729,True
19250,33,71,2.0538487434387207,30,729,True
8300,76,159,2.356121301651001,26,729,True
3600,1,6,1.9376330375671387,45,729,True
5400,23,53,1.7519190311431885,27,729,True
2200,2,6,2.1033759117126465,59,729,True
6050,12,30,1.8285043239593506,28,729,True
4500,2,11,2.453460454940796,36,729,True
9400,25,56,1.803614616394043,28,729,True
19250,13,31,1.7805333137512207,30,729,True
7700,21,47,2.5815789699554443,28,729,True
8300,96,198,2.430874824523926,26,729,True
13250,60,125,2.1720497608184814,25,729,True
2200,2,6,1.7556684017181396,59,729,True
3600,3,8,1.7071881294250488,45,729,True
6050,16,39,1.6807587146759033,28,729,True
9400,16,37,1.386981725692749,28,729,True
7700,20,48,1.638204574584961,28,729,True
5400,26,56,1.8351366519927979,27,729,True
4500,4,12,1.875847578048706,36,729,True
19250,29,62,1.4012248516082764,30,729,True
13250,38,82,1.66410493850708,25,729,True
8300,95,195,1.8688302040100098,26,729,True
