identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
8,19,50,0.8725593090057373,22,729,True
12,11,31,0.8925235271453857,22,729,True
5,14,38,0.9586379528045654,22,729,True
1,13,46,1.0447313785552979,21,729,True
2,83,177,1.067791223526001,22,729,True
7,50,110,1.133359670639038,22,729,True
3,68,144,1.1984198093414307,22,729,True
0,30,76,1.2564685344696045,21,729,True
15,42,95,1.1903953552246094,22,729,True
13,78,162,1.4551465511322021,22,729,True
6,8,29,1.5522935390472412,22,729,True
16,8,26,0.7237980365753174,22,729,True
14,29,65,1.5642726421356201,22,729,True
4,68,153,1.9597110748291016,22,729,True
17,30,71,1.000072956085205,22,729,True
19,8,28,0.9600212574005127,22,729,True
18,6,22,1.0451130867004395,22,729,True
20,20,49,0.9644961357116699,22,729,True
11,64,134,2.1864233016967773,22,729,True
22,78,172,1.2813549041748047,23,729,True
27,20,61,0.9259569644927979,23,729,True
28,13,39,0.8518927097320557,23,729,True
24,33,76,1.1416904926300049,23,729,True
21,105,219,1.450019121170044,23,729,True
9,198,407,2.5862908363342285,22,729,True
26,47,104,1.2903170585632324,23,729,True
23,39,89,1.659475564956665,23,729,True
25,122,256,1.3553779125213623,23,729,True
30,26,65,0.9539616107940674,23,729,True
34,12,39,0.8342912197113037,23,729,True
32,22,56,1.0665547847747803,23,729,True
33,101,211,1.3313498497009277,23,729,True
36,6,27,0.8148024082183838,23,729,True
43,14,44,0.8087968826293945,23,729,True
37,74,156,1.2617857456207275,23,729,True
29,102,215,2.0316295623779297,23,729,True
42,17,41,1.1147041320800781,23,729,True
45,30,69,0.9325399398803711,23,729,True
39,21,52,1.7203166484832764,23,729,True
31,83,174,2.3532655239105225,23,729,True
46,39,91,1.2739088535308838,23,729,True
47,53,112,1.0016024112701416,23,729,True
38,17,42,1.8033921718597412,23,729,True
48,78,178,1.021620750427246,23,729,True
41,50,110,1.655277967453003,23,729,True
51,4,21,0.7637939453125,23,729,True
50,26,62,0.9558677673339844,23,729,True
53,45,101,1.009552001953125,23,729,True
52,64,144,1.1366636753082275,23,729,True
49,26,63,1.4535846710205078,23,729,True
57,20,51,0.8363327980041504,23,729,True
56,3,20,0.9003908634185791,23,729,True
55,4,22,1.0525283813476562,23,729,True
61,10,32,0.7482101917266846,23,729,True
62,62,129,1.033501148223877,23,729,True
60,83,180,1.3748538494110107,23,729,True
58,67,143,1.596092939376831,23,729,True
40,316,652,3.4335150718688965,23,729,True
59,152,320,1.6751635074615479,23,729,True
66,23,58,0.9909934997558594,23,729,True
69,11,33,0.757798433303833,23,729,True
44,254,519,3.3564846515655518,23,729,True
64,50,114,1.2892823219299316,23,729,True
68,36,82,1.095900297164917,23,729,True
63,35,80,1.5510263442993164,23,729,True
65,170,351,1.5626165866851807,23,729,True
54,164,344,2.5100955963134766,23,729,True
74,10,33,0.736868143081665,23,729,True
67,163,338,1.5997214317321777,23,729,True
75,8,29,0.7879409790039062,23,729,True
76,27,62,0.8825798034667969,23,729,True
72,61,132,1.1598715782165527,23,729,True
71,105,223,1.3780872821807861,23,729,True
77,5,22,1.0527358055114746,23,729,True
85,21,54,0.802309513092041,23,729,True
82,33,76,1.0125670433044434,23,729,True
84,31,74,0.9925491809844971,23,729,True
78,122,255,1.5913362503051758,23,729,True
35,599,1217,5.589415550231934,23,729,True
88,48,106,1.0807421207427979,23,729,True
89,16,42,1.0296950340270996,23,729,True
80,109,235,1.9708178043365479,23,729,True
90,50,113,0.9245710372924805,23,729,True
79,145,300,2.28210186958313,23,729,True
86,43,100,1.6172277927398682,23,729,True
81,269,546,2.099356174468994,23,729,True
87,105,226,1.6612663269042969,23,729,True
94,32,75,0.8974494934082031,23,729,True
93,49,109,1.0536437034606934,23,729,True
96,26,63,0.8619227409362793,23,729,True
98,0,12,0.6505632400512695,23,729,True
83,439,890,2.7024593353271484,23,729,True
99,16,45,0.7351548671722412,23,729,True
97,96,203,1.010505199432373,23,729,True
91,99,208,1.8318860530853271,23,729,True
95,147,304,1.3356351852416992,23,729,True
92,111,234,1.913339376449585,23,729,True
73,571,1152,3.84490704536438,23,729,True
10,1504,3024,10.069003343582153,22,729,True
70,1444,2897,6.444952011108398,23,729,True
