identifier,backtracks,propagations,duration,constraint_size,assignment_size,satisfied
3600,0,5,4.84,45,729,True
3600,0,6,4.83,45,729,True
9400,10,33,4.96,28,729,True
7700,23,59,5.01,28,729,True
2200,0,4,5.11,59,729,True
8300,7,27,5.16,26,729,True
6050,22,52,5.15,28,729,True
6050,28,67,5.19,28,729,True
4500,2,12,5.24,36,729,True
5400,31,70,5.35,27,729,True
2200,0,4,5.38,59,729,True
5400,29,65,5.6,27,729,True
19250,33,74,9.07,30,729,True
4500,9,21,9.84,36,729,True
19250,9,26,4.86,30,729,True
7700,33,74,10.05,28,729,True
13250,63,133,10.2,25,729,True
4500,9,23,5.06,36,729,True
2200,0,4,5.18,59,729,True
3600,0,6,5.27,45,729,True
5400,22,56,5.33,27,729,True
6050,13,34,5.33,28,729,True
8300,40,93,5.49,26,729,True
13250,85,175,6.58,25,729,True
8300,194,398,8.75,26,729,True
9400,17,44,8.94,28,729,True
13250,27,66,4.96,25,729,True
2200,1,5,5.32,59,729,True
5400,10,33,5.02,27,729,True
6050,33,74,5.07,28,729,True
7700,61,127,10.1,28,729,True
3600,1,6,5.64,45,729,True
19250,24,59,5.91,30,729,True
13250,15,44,5.03,25,729,True
7700,46,100,5.63,28,729,True
9400,22,55,5.55,28,729,True
9400,32,72,11.13,28,729,True
19250,13,35,5.23,30,729,True
8300,133,274,7.86,26,729,True
4500,4,15,4.68,36,729,True
2200,1,5,5.82,59,729,True
7700,33,72,4.87,28,729,True
5400,16,42,5.05,27,729,True
6050,18,45,5.04,28,729,True
4500,3,12,10.1,36,729,True
9400,4,19,4.91,28,729,True
3600,1,7,4.74,45,729,True
19250,15,37,5.11,30,729,True
13250,39,84,5.58,25,729,True
2200,1,5,5.58,59,729,True
8300,78,164,6.27,26,729,True
4500,2,11,5.28,36,729,True
5400,38,86,5.58,27,729,True
3600,2,8,8.94,45,729,True
6050,13,34,4.84,28,729,True
7700,23,55,6.01,28,729,True
9400,3,16,4.9,28,729,True
19250,24,55,5.36,30,729,True
4500,3,13,4.98,36,729,True
5400,34,75,5.29,27,729,True
6050,20,50,4.99,28,729,True
2200,0,4,6.1,59,729,True
13250,20,51,6.3,25,729,True
7700,42,91,5.45,28,729,True
19250,18,46,4.86,30,729,True
8300,90,194,8.25,26,729,True
9400,29,63,5.65,28,729,True
13250,29,65,5.55,25,729,True
2200,0,4,5.16,59,729,True
4500,3,13,4.63,36,729,True
3600,0,5,5.75,45,729,True
6050,12,34,4.84,28,729,True
5400,17,44,5.05,27,729,True
7700,18,44,4.82,28,729,True
9400,6,22,4.75,28,729,True
3600,2,7,10.96,45,729,True
8300,71,159,5.75,26,729,True
19250,12,31,5.11,30,729,True
2200,0,4,5.27,59,729,True
4500,2,12,5.33,36,729,True
8300,115,242,11.52,26,729,True
5400,19,46,5.27,27,729,True
3600,1,6,6.0,45,729,True
7700,36,79,4.95,28,729,True
9400,22,53,5.04,28,729,True
8300,8,28,5.59,26,729,True
13250,17,46,9.54,25,729,True
13250,19,49,5.42,25,729,True
19250,60,129,5.29,30,729,True
4500,1,11,4.93,36,729,True
5400,2,18,4.99,27,729,True
6050,43,100,9.56,28,729,True
7700,8,28,4.93,28,729,True
2200,0,4,6.88,59,729,True
3600,0,6,6.81,45,729,True
9400,21,51,6.78,28,729,True
13250,32,74,6.69,25,729,True
5400,8,27,4.96,27,729,True
4500,2,12,5.07,36,729,True
6050,2,15,4.75,28,729,True
6050,9,29,8.97,28,729,True
7700,15,41,5.17,28,729,True
9400,3,17,4.81,28,729,True
13250,27,65,4.95,25,729,True
19250,16,42,5.62,30,729,True
19250,10,32,8.97,30,729,True
2200,0,4,6.03,59,729,True
8300,118,247,11.63,26,729,True
2200,2,6,9.67,59,729,True
3600,3,8,9.31,45,729,True
8300,189,387,8.12,26,729,True
3600,2,7,5.46,45,729,True
6050,20,50,4.71,28,729,True
4500,1,10,5.59,36,729,True
7700,3,16,4.74,28,729,True
9400,29,65,6.05,28,729,True
19250,59,126,5.47,30,729,True
3600,1,7,4.88,45,729,True
8300,98,203,7.06,26,729,True
2200,1,5,6.17,59,729,True
5400,19,49,5.19,27,729,True
4500,4,14,5.7,36,729,True
7700,11,32,4.91,28,729,True
6050,36,78,5.28,28,729,True
13250,5,21,4.87,25,729,True
9400,25,58,5.32,28,729,True
19250,26,58,5.08,30,729,True
2200,0,4,5.2,59,729,True
5400,55,119,10.25,27,729,True
13250,38,83,9.48,25,729,True
8300,118,245,7.63,26,729,True
6050,10,29,4.82,28,729,True
4500,4,14,5.72,36,729,True
