         289175 function calls (288606 primitive calls) in 3.226 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2970    2.392    0.001    4.999    0.002 e:\knowledge-representation-6\sattools\solvers.py:107(<listcomp>)
     2970    0.513    0.000    0.513    0.000 e:\knowledge-representation-6\sattools\solvers.py:102(<listcomp>)
       81    0.170    0.002    5.727    0.071 e:\knowledge-representation-6\sattools\solvers.py:110(simplify)
     2970    0.035    0.000    5.566    0.002 e:\knowledge-representation-6\sattools\solvers.py:88(remove_literal)
     2970    0.015    0.000    0.015    0.000 {method 'copy' of 'list' objects}
        3    0.013    0.004    0.031    0.010 e:\knowledge-representation-6\sattools\utils.py:13(read_dimacs)
       81    0.011    0.000    0.016    0.000 e:\knowledge-representation-6\sattools\solvers.py:86(<setcomp>)
        4    0.008    0.002    0.008    0.002 {built-in method io.open}
      131    0.007    0.000    0.007    0.000 e:\knowledge-representation-6\sattools\utils.py:49(flatten_list)
     80/1    0.006    0.000    3.520    3.520 e:\knowledge-representation-6\sattools\solvers.py:156(backtrack)
        1    0.006    0.006    0.008    0.008 e:\knowledge-representation-6\sattools\sudoku.py:64(validate_clauses)
   102458    0.005    0.000    0.005    0.000 {built-in method builtins.len}
    12735    0.005    0.000    0.005    0.000 e:\knowledge-representation-6\sattools\utils.py:36(<listcomp>)
       81    0.004    0.000    0.010    0.000 e:\knowledge-representation-6\sattools\solvers.py:73(determine_pure_literals)
    26263    0.004    0.000    0.005    0.000 e:\knowledge-representation-6\sattools\solvers.py:44(<genexpr>)
    38277    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
        1    0.003    0.003    0.009    0.009 e:\knowledge-representation-6\sattools\solvers.py:41(determine_literals)
       14    0.003    0.000    0.003    0.000 {built-in method builtins.print}
     3050    0.002    0.000    0.018    0.000 C:\Users\Alex Hoorn\miniconda3\lib\copy.py:66(copy)
       79    0.002    0.000    0.002    0.000 {built-in method numpy.fromiter}
      158    0.002    0.000    0.004    0.000 C:\Users\Alex Hoorn\miniconda3\lib\site-packages\numpy\lib\arraysetops.py:320(_unique1d)
    12735    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
    26262    0.002    0.000    0.002    0.000 {built-in method builtins.abs}
       81    0.001    0.000    0.001    0.000 e:\knowledge-representation-6\sattools\solvers.py:79(<setcomp>)
     2970    0.001    0.000    0.514    0.000 e:\knowledge-representation-6\sattools\solvers.py:99(remove_clauses_with_literal)
     2970    0.001    0.000    5.000    0.002 e:\knowledge-representation-6\sattools\solvers.py:104(shorten_clauses_with_literal)
    12736    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
    12735    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
    13464    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
   553/79    0.001    0.000    0.006    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       79    0.001    0.000    0.006    0.000 C:\Users\Alex Hoorn\miniconda3\lib\site-packages\numpy\lib\arraysetops.py:519(in1d)
       79    0.000    0.000    0.000    0.000 {method 'sort' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 e:\knowledge-representation-6\sattools\sudoku.py:35(add_answer)
       80    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
        3    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
       79    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
     3050    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    3.520    3.520 e:\knowledge-representation-6\sattools\solvers.py:149(start)
        3    0.000    0.000    0.000    0.000 e:\knowledge-representation-6\sattools\sudoku.py:50(get_all_clauses)
        1    0.000    0.000    0.032    0.032 e:\knowledge-representation-6\sattools\sudoku.py:9(__init__)
      729    0.000    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      158    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
